cau,romaji,nghia
テーブルの うえに ほんが あります。,Teeburu no ue ni hon ga arimasu.,Trên bàn có sách.
へやに テレビが あります。,Heya ni terebi ga arimasu.,Trong phòng có TV.
あそこに きっさてんが あります。,Asoko ni kissaten ga arimasu.,Đằng kia có quán cà phê.
こうえんに いぬが います。,Kouen ni inu ga imasu.,Trong công viên có con chó.
へやに おんなのこが います。,Heya ni onna no ko ga imasu.,Trong phòng có một bé gái.
あそこに ミラーさんが います。,Asoko ni Miraa-san ga imasu.,Đằng kia có anh Miller.
ミラーさんは じむしょに います。,Miraa-san wa jimusho ni imasu.,Anh Miller ở văn phòng.
でんわは テーブルの うえに あります。,Denwa wa teeburu no ue ni arimasu.,Điện thoại ở trên bàn.
たなかさんは いま どこに いますか。,Tanaka-san wa ima doko ni imasu ka.,Bây giờ anh Tanaka ở đâu?
…たなかさんは ぎんこうに います。,…Tanaka-san wa ginkou ni imasu.,…Anh Tanaka ở ngân hàng.
かばんの なかに ノートが あります。,Kaban no naka ni nooto ga arimasu.,Trong cặp có quyển vở.
ベッドの したに ねこが います。,Beddo no shita ni neko ga imasu.,Dưới giường có con mèo.
びょういんの まえに スーパーが あります。,Byouin no mae ni suupaa ga arimasu.,Trước bệnh viện có siêu thị.
うちの うしろに こうえんが あります。,Uchi no ushiro ni kouen ga arimasu.,Sau nhà có công viên.
ほんやの みぎに きっさてんが あります。,Hon'ya no migi ni kissaten ga arimasu.,Bên phải hiệu sách có quán cà phê.
えきの ひだりに ゆうびんきょくが あります。,Eki no hidari ni yuubinkyoku ga arimasu.,Bên trái nhà ga có bưu điện.
くるまの なかに だれが いますか。,Kuruma no naka ni dare ga imasu ka.,Trong xe có ai?
…くるまの なかに おとこのひとが います。,…Kuruma no naka ni otoko no hito ga imasu.,…Trong xe có một người đàn ông.
ぎんこうと ゆうびんきょくの あいだに ほんやが あります。,Ginkou to yuubinkyoku no aida ni hon'ya ga arimasu.,Giữa ngân hàng và bưu điện có hiệu sách.
わたしは たなかさんと ミラーさんの あいだに います。,Watashi wa Tanaka-san to Miraa-san no aida ni imasu.,Tôi ở giữa anh Tanaka và anh Miller.
テーブルの うえに ほんや かばんが あります。,Teeburu no ue ni hon ya kaban ga arimasu.,"Trên bàn có sách, cặp v.v."
かばんの なかに ほんや ノートが あります。,Kaban no naka ni hon ya nooto ga arimasu.,"Trong cặp có sách, vở v.v."
へやに だれが いますか。,Heya ni dare ga imasu ka.,Trong phòng có ai?
…やまださんが います。,…Yamada-san ga imasu.,…Có anh Yamada.
はこの なかに なにが ありますか。,Hako no naka ni nani ga arimasu ka.,Trong hộp có gì?
…でんちが あります。,…Denchi ga arimasu.,…Có pin.
デパートに レストランが あります。,Depaato ni resutoran ga arimasu.,Trong trung tâm thương mại có nhà hàng.
まどの そとに きが あります。,Mado no soto ni ki ga arimasu.,Bên ngoài cửa sổ có cây.
スイッチは ドアの みぎに あります。,Suitchi wa doa no migi ni arimasu.,Công tắc ở bên phải cửa.
コンビニは えきの ちかくに あります。,Konbini wa eki no chikaku ni arimasu.,Cửa hàng tiện lợi ở gần nhà ga.
あそこに パンダが います。,Asoko ni panda ga imasu.,Đằng kia có con gấu trúc.
きの したに ぞうが います。,Ki no shita ni zou ga imasu.,Dưới gốc cây có con voi.
パンダと ぞうは どこに いますか。,Panda to zou wa doko ni imasu ka.,Gấu trúc và voi ở đâu?
えきの ちかくに ほんやや きっさてんが あります。,Eki no chikaku ni hon'ya ya kissaten ga arimasu.,"Gần nhà ga có hiệu sách, quán cà phê v.v."
この ビルの なかに コンビニや ＡＴＭなどが あります。,Kono biru no naka ni konbini ya ATM nado ga arimasu.,"Trong tòa nhà này có cửa hàng tiện lợi, máy ATM v.v."
すみません、ナンプラーは どこに ありますか。,"Sumimasen, nanpuraa wa doko ni arimasu ka.",Xin lỗi cho hỏi nước mắm ở đâu ạ?
…あの コーナーの いちばんしたに あります。,…Ano koonaa no ichiban shita ni arimasu.,…Ở dưới cùng của quầy kia ạ.
どうも すみません。,Doumo sumimasen.,Cảm ơn anh/chị nhiều.
とうきょうディズニーランドは ちばけんに あります。,Toukyou Dizuniirando wa Chiba-ken ni arimasu.,Tokyo Disneyland ở tỉnh Chiba.
げんかんに くつが あります。,Genkan ni kutsu ga arimasu.,Ở cửa ra vào có giày.
だいどころに れいぞうこが あります。,Daidokoro ni reizouko ga arimasu.,Trong bếp có tủ lạnh.
しょくどうは だいどころの となりに あります。,Shokudou wa daidokoro no tonari ni arimasu.,Phòng ăn ở bên cạnh bếp.
いまに テレビが あります。,Ima ni terebi ga arimasu.,Trong phòng khách có TV.
しんしつに ベッドと たなが あります。,Shinshitsu ni beddo to tana ga arimasu.,Trong phòng ngủ có giường và kệ.
ふろばは せんめんじょの ちかくに あります。,Furoba wa senmenjo no chikaku ni arimasu.,Phòng tắm ở gần chỗ rửa mặt.
ろうかに おとこのこが います。,Rouka ni otoko no ko ga imasu.,Ở hành lang có một bé trai.
ベランダに ねこが います。,Beranda ni neko ga imasu.,Ở ban công có con mèo.
うちの なかに いろいろな へやが あります。,Uchi no naka ni iroiro na heya ga arimasu.,Trong nhà có nhiều loại phòng khác nhau.
しんしつと しょくどうの あいだに いまが あります。,Shinshitsu to shokudou no aida ni ima ga arimasu.,Giữa phòng ngủ và phòng ăn có phòng khách.
