cau,romaji,nghia
あさ おきて、シャワーを あびて、かいしゃへ いきます。,"Asa okite, shawaa o abite, kaisha e ikimasu.","Buổi sáng tôi ngủ dậy, tắm rồi đi làm."
きのう としょかんへ いって、ほんを かりて、うちで よみました。,"Kinou toshokan e itte, hon o karite, uchi de yomimashita.","Hôm qua tôi đến thư viện, mượn sách rồi đọc ở nhà."
きょうは かいものを して、ともだちに あって、えいがを みます。,"Kyou wa kaimono o shite, tomodachi ni atte, eiga o mimasu.","Hôm nay tôi đi mua sắm, gặp bạn rồi xem phim."
にちようびは こうえんを さんぽして、しゃしんを とりました。,"Nichiyoubi wa kouen o sanpo shite, shashin o torimashita.","Chủ nhật tôi đi dạo công viên và chụp ảnh."
えきで でんしゃに のって、おおさかで おりました。,"Eki de densha ni notte, Oosaka de orimashita.","Tôi lên tàu ở ga rồi xuống ở Osaka."
とうきょうえきで しんかんせんに のりかえます。,Toukyou-eki de shinkansen ni norikaemasu.,Tôi đổi sang tàu Shinkansen ở ga Tokyo.
この へやは ひろくて、あかるいです。,"Kono heya wa hirokute, akarui desu.","Căn phòng này rộng và sáng."
わたしの へやは せまくて、くらいです。,"Watashi no heya wa semakute, kurai desu.","Phòng tôi thì chật và tối."
すしは やすくて、おいしかったです。,"Sushi wa yasukute, oishikatta desu.","Sushi vừa rẻ vừa ngon."
きょうは てんきが よくて、あたたかいです。,"Kyou wa tenki ga yokute, atatakai desu.","Hôm nay thời tiết đẹp và ấm áp."
この まちは しずかで、きれいです。,"Kono machi wa shizuka de, kirei desu.","Thành phố này yên tĩnh và đẹp."
やまださんは にほんじんで、ぎんこういんです。,"Yamada-san wa nihonjin de, ginkouin desu.","Anh Yamada là người Nhật và là nhân viên ngân hàng."
あの せんせいは わかくて、しんせつです。,"Ano sensei wa wakakute, shinsetsu desu.","Thầy giáo kia trẻ và tốt bụng."
ごはんを たべてから、くすりを のみます。,"Gohan o tabete kara, kusuri o nomimasu.","Sau khi ăn cơm tôi uống thuốc."
しごとが おわってから、えいがを みに いきませんか。,"Shigoto ga owatte kara, eiga o mi ni ikimasen ka.","Sau khi xong việc, mình đi xem phim nhé?"
うちへ かえってから、しゅくだいを します。,"Uchi e kaette kara, shukudai o shimasu.","Sau khi về nhà tôi làm bài tập."
ジョギングを してから、シャワーを あびます。,"Jogingu o shite kara, shawaa o abimasu.","Sau khi chạy bộ tôi đi tắm."
きっぷを かってから、ホームへ いって ください。,"Kippu o katte kara, hoomu e itte kudasai.","Sau khi mua vé xin hãy đi ra sân ga."
あの ひとは かみが ながいです。,Ano hito wa kami ga nagai desu.,Người kia tóc dài.
いもうとは めが おおきくて、かみが ながいです。,"Imouto wa me ga ookikute, kami ga nagai desu.","Em gái tôi mắt to và tóc dài."
やまださんは せが たかいです。,Yamada-san wa se ga takai desu.,Anh Yamada cao.
あの がくせいは あたまが いいです。,Ano gakusei wa atama ga ii desu.,Bạn học sinh kia thông minh.
この まちは こうえんが おおいです。,Kono machi wa kouen ga ooi desu.,Thành phố này nhiều công viên.
わたしの だいがくは としょかんが あたらしいです。,Watashi no daigaku wa toshokan ga atarashii desu.,Trường đại học của tôi có thư viện mới.
