cau,romaji,nghia
わたしは ミラーです。,Watashi wa Miraa desu.,Tôi là Miller.
わたしは かいしゃいんです。,Watashi wa kaishain desu.,Tôi là nhân viên công ty.
リーさんは がくせいです。,Rii-san wa gakusei desu.,Anh Lee là học sinh.
あの ひとは せんせいです。,Ano hito wa sensei desu.,Người kia là giáo viên.
わたしは ベトナムじんです。,Watashi wa Betonamu-jin desu.,Tôi là người Việt Nam.
ミラーさんは アメリカじんです。,Miraa-san wa Amerika-jin desu.,Anh Miller là người Mỹ.
ワンさんは ちゅうごくじんです。,Wan-san wa Chuugoku-jin desu.,Anh Wang là người Trung Quốc.
わたしは せんせいじゃ ありません。,Watashi wa sensei ja arimasen.,Tôi không phải giáo viên.
リーさんは にほんじんじゃ ありません。,Rii-san wa Nihon-jin ja arimasen.,Anh Lee không phải người Nhật.
わたしは いしゃじゃ ありません。,Watashi wa isha ja arimasen.,Tôi không phải bác sĩ.
あなたは がくせいですか。,Anata wa gakusei desu ka.,Bạn là học sinh phải không?
…はい、がくせいです。,"…Hai, gakusei desu.","…Vâng, tôi là học sinh."
ミラーさんは いしゃですか。,Miraa-san wa isha desu ka.,Anh Miller là bác sĩ phải không?
…いいえ、いしゃじゃ ありません。,"…Iie, isha ja arimasen.","…Không, không phải bác sĩ."
あの かたは どなたですか。,Ano kata wa donata desu ka.,Vị kia là ai vậy?
…あの かたは やまださんです。,…Ano kata wa Yamada-san desu.,…Vị kia là ông Yamada.
わたしは かいしゃいんです。リーさんも かいしゃいんです。,Watashi wa kaishain desu. Rii-san mo kaishain desu.,Tôi là nhân viên công ty. Anh Lee cũng là nhân viên công ty.
カリナさんは がくせいです。ワットさんも がくせいです。,Karina-san wa gakusei desu. Watto-san mo gakusei desu.,Chị Karina là học sinh. Anh Watt cũng là học sinh.
ミラーさんは IMCの しゃいんです。,Miraa-san wa IMC no shain desu.,Anh Miller là nhân viên của IMC.
わたしは さくらだいがくの がくせいです。,Watashi wa Sakura-daigaku no gakusei desu.,Tôi là sinh viên của đại học Sakura.
テレーザちゃんは きゅうさいです。,Tereeza-chan wa kyuu-sai desu.,Bé Teresa 9 tuổi.
あなたは なんさいですか。,Anata wa nan-sai desu ka.,Bạn bao nhiêu tuổi?
…わたしは にじゅうごさいです。,…Watashi wa nijuu-go-sai desu.,…Tôi 25 tuổi.
わたしは ベトナムから きました。,Watashi wa Betonamu kara kimashita.,Tôi đến từ Việt Nam.
ミラーさんは アメリカから きました。,Miraa-san wa Amerika kara kimashita.,Anh Miller đến từ Mỹ.
はじめまして。,Hajimemashite.,Rất vui được gặp.
しつれいですが、おなまえは？,"Shitsurei desu ga, onamae wa?","Xin lỗi, bạn tên là gì?"
こちらは サントスさんです。,Kochira wa Santosu-san desu.,Đây là anh Santos.
どうぞ よろしく おねがいします。,Douzo yoroshiku onegaishimasu.,Rất mong được anh/chị giúp đỡ.
はじめまして。わたしは ファムです。ベトナムから きました。さくらだいがくの がくせいです。どうぞ よろしく おねがいします。,Hajimemashite. Watashi wa Famu desu. Betonamu kara kimashita. Sakura-daigaku no gakusei desu. Douzo yoroshiku onegaishimasu.,Rất vui được gặp. Tôi là Phạm. Tôi đến từ Việt Nam. Tôi là sinh viên đại học Sakura. Rất mong được giúp đỡ.
