cau,romaji,nghia
ちょっと まって ください。,Chotto matte kudasai.,Xin hãy đợi một chút.
すみませんが、しおを とって ください。,"Sumimasen ga, shio o totte kudasai.","Xin lỗi, cho tôi xin lọ muối."
さとうも とって ください。,Satou mo totte kudasai.,Cho tôi xin cả đường nữa.
この かんじの よみかたを おしえて ください。,Kono kanji no yomikata o oshiete kudasai.,Xin hãy chỉ cho tôi cách đọc chữ Hán này.
エアコンを つけて ください。,Eakon o tsukete kudasai.,Xin hãy bật máy điều hòa.
でんきを けして ください。,Denki o keshite kudasai.,Xin hãy tắt đèn.
まどを あけて ください。,Mado o akete kudasai.,Xin hãy mở cửa sổ.
ドアを しめて ください。,Doa o shimete kudasai.,Xin hãy đóng cửa.
パスポートを みせて ください。,Pasupooto o misete kudasai.,Xin cho tôi xem hộ chiếu.
ここに なまえと じゅうしょを かいて ください。,Koko ni namae to juusho o kaite kudasai.,Xin hãy viết tên và địa chỉ vào đây.
もう すこし ゆっくり はなして ください。,Mou sukoshi yukkuri hanashite kudasai.,Xin hãy nói chậm hơn một chút.
あとで また きて ください。,Ato de mata kite kudasai.,Lát nữa xin hãy đến lại.
すぐ タクシーを よんで ください。,Sugu takushii o yonde kudasai.,Xin hãy gọi taxi ngay.
この ちずを コピーして ください。,Kono chizu o kopii shite kudasai.,Xin hãy photocopy tấm bản đồ này.
いそいで ください。じかんが ありません。,Isoide kudasai. Jikan ga arimasen.,Xin hãy nhanh lên. Không còn thời gian đâu.
いま なにを して いますか。,Ima nani o shite imasu ka.,Bây giờ bạn đang làm gì?
…てがみを かいて います。,…Tegami o kaite imasu.,…Tôi đang viết thư.
やまださんは いま でんわで はなして います。,Yamada-san wa ima denwa de hanashite imasu.,Anh Yamada đang nói chuyện điện thoại.
あめが ふって います。,Ame ga futte imasu.,Trời đang mưa.
こどもは こうえんで あそんで います。,Kodomo wa kouen de asonde imasu.,Bọn trẻ đang chơi ở công viên.
わたしは いま にほんごを べんきょうして います。,Watashi wa ima nihongo o benkyou shite imasu.,Bây giờ tôi đang học tiếng Nhật.
かぞくは いま ごはんを たべて います。,Kazoku wa ima gohan o tabete imasu.,Gia đình tôi đang ăn cơm.
いもうとは いま ねて いません。ほんを よんで います。,Imouto wa ima nete imasen. Hon o yonde imasu.,Em gái tôi bây giờ không ngủ. Em ấy đang đọc sách.
きのうの ごご なにを して いましたか。,Kinou no gogo nani o shite imashita ka.,Chiều hôm qua bạn đang làm gì?
…プールで およいで いました。,…Puuru de oyoide imashita.,…Tôi đang bơi ở bể bơi.
なにか てつだいましょうか。,Nanika tetsudaimashou ka.,Tôi giúp gì được không?
…ええ、おねがいします。,"…Ee, onegai shimasu.","…Vâng, nhờ bạn giúp."
かばんを もちましょうか。,Kaban o mochimashou ka.,Để tôi xách cặp giúp nhé?
…すみません。おねがいします。,…Sumimasen. Onegai shimasu.,…Cảm ơn. Nhờ bạn nhé.
ちずを かきましょうか。,Chizu o kakimashou ka.,Để tôi vẽ bản đồ cho nhé?
エアコンを つけましょうか。,Eakon o tsukemashou ka.,Tôi bật điều hòa nhé?
…いいですよ。おねがいします。,…Ii desu yo. Onegai shimasu.,…Được đấy. Nhờ bạn nhé.
べんきょうを はじめましょう。,Benkyou o hajimemashou.,Chúng ta bắt đầu học nào.
ここに すわって ください。,Koko ni suwatte kudasai.,Xin hãy ngồi vào đây.
みなさん、たって ください。,"Minasan, tatte kudasai.","Mọi người hãy đứng lên."
その きっさてんに はいりましょうか。,Sono kissaten ni hairimashou ka.,Mình vào quán giải khát đó nhé?
まいあさ はちじに うちを でます。,Maiasa hachi-ji ni uchi o demasu.,Sáng nào tôi cũng ra khỏi nhà lúc 8 giờ.
この パソコンを つかって ください。,Kono pasokon o tsukatte kudasai.,Xin hãy dùng máy tính này.
もんだいの こたえを おしえて ください。,Mondai no kotae o oshiete kudasai.,Xin hãy cho tôi biết đáp án của câu hỏi.
きっぷうりばは かいさつぐちの まえに あります。,Kippu uriba wa kaisatsuguchi no mae ni arimasu.,Chỗ bán vé ở trước cửa soát vé.
ひがしぐちで まって います。,Higashiguchi de matte imasu.,Tôi đang đợi ở cửa Đông.
とうきょうゆきの とっきゅうは なんじに でますか。,Toukyou yuki no tokkyuu wa nan-ji ni demasu ka.,Tàu tốc hành đặc biệt đi Tokyo khởi hành lúc mấy giờ?
…じこくひょうを みて ください。,…Jikokuhyou o mite kudasai.,…Xin hãy xem bảng giờ chạy tàu.
おうふくの きっぷを にまい ください。,Oufuku no kippu o ni-mai kudasai.,Cho tôi hai vé khứ hồi.
みどりまちまで おねがいします。,Midori-machi made onegai shimasu.,Cho tôi đến phố Midori.
まっすぐ いって ください。,Massugu itte kudasai.,Xin hãy đi thẳng.
あの しんごうを ひだりへ まがって ください。,Ano shingou o hidari e magatte kudasai.,Xin hãy rẽ trái ở đèn tín hiệu kia.
あそこの しろい ビルの まえで とめて ください。,Asoko no shiroi biru no mae de tomete kudasai.,Xin hãy dừng trước tòa nhà màu trắng đằng kia.
これで おねがいします。,Kore de onegai shimasu.,Tôi trả bằng cái này ạ.
…おつりです。ありがとうございました。,…Otsuri desu. Arigatou gozaimashita.,…Đây là tiền thừa của quý khách. Xin cảm ơn.
さあ、いきましょう。,"Saa, ikimashou.","Nào, chúng ta đi thôi."
あれ？ かぎが ありません。,Are? Kagi ga arimasen.,Ơ? Không thấy chìa khóa đâu.
