cau,romaji,nghia
がっこうへ いきます。,Gakkou e ikimasu.,Tôi đi đến trường.
うちへ かえります。,Uchi e kaerimasu.,Tôi về nhà.
きのう スーパーへ いきました。,Kinou suupaa e ikimashita.,Hôm qua tôi đã đi siêu thị.
どこへ いきますか。,Doko e ikimasu ka.,Bạn đi đâu?
…えきへ いきます。,…Eki e ikimasu.,…Tôi đi ga.
でんしゃで いきます。,Densha de ikimasu.,Tôi đi bằng tàu điện.
バスで かいしゃへ いきます。,Basu de kaisha e ikimasu.,Tôi đến công ty bằng xe buýt.
なんで きましたか。,Nan de kimashita ka.,Bạn đến bằng gì?
…タクシーで きました。,…Takushii de kimashita.,…Tôi đến bằng taxi.
あるいて いきます。,Aruite ikimasu.,Tôi đi bộ.
ともだちと いきます。,Tomodachi to ikimasu.,Tôi đi cùng bạn.
かぞくと にほんへ きました。,Kazoku to Nihon e kimashita.,Tôi đến Nhật cùng gia đình.
だれと いきますか。,Dare to ikimasu ka.,Bạn đi với ai?
ひとりで いきます。,Hitori de ikimasu.,Tôi đi một mình.
らいげつ にほんへ いきます。,Raigetsu Nihon e ikimasu.,Tháng sau tôi đi Nhật.
くがつ ふつかに きました。,Kugatsu futsuka ni kimashita.,Tôi đến vào mùng 2 tháng 9.
たんじょうびは いつですか。,Tanjoubi wa itsu desu ka.,Sinh nhật khi nào?
…くがつ ふつかです。,…Kugatsu futsuka desu.,…Mùng 2 tháng 9.
いつ にほんへ きましたか。,Itsu Nihon e kimashita ka.,Bạn đến Nhật khi nào?
…きょねん きました。,…Kyonen kimashita.,…Năm ngoái.
あした だれと どこへ いきますか。,Ashita dare to doko e ikimasu ka.,"Ngày mai bạn đi đâu, với ai?"
せんしゅう ともだちと えきへ いきました。,Senshuu tomodachi to eki e ikimashita.,Tuần trước tôi đã ra ga cùng bạn.
