cau,romaji,nghia
わたしは にほんの えいがが すきです。,Watashi wa nihon no eiga ga suki desu.,Tôi thích phim Nhật.
わたしは やさいが きらいです。,Watashi wa yasai ga kirai desu.,Tôi ghét rau.
ミラーさんは スポーツが すきです。,Miraa-san wa supootsu ga suki desu.,Anh Miller thích thể thao.
なにが すきですか。,Nani ga suki desu ka.,Bạn thích gì?
…おんがくが すきです。,…Ongaku ga suki desu.,…Tôi thích âm nhạc.
わたしは にほんごが すこし わかります。,Watashi wa nihongo ga sukoshi wakarimasu.,Tôi hiểu tiếng Nhật một chút.
かんじが ぜんぜん わかりません。,Kanji ga zenzen wakarimasen.,Tôi hoàn toàn không hiểu kanji.
わたしは くるまが あります。,Watashi wa kuruma ga arimasu.,Tôi có xe ô tô.
じかんが ありません。,Jikan ga arimasen.,Tôi không có thời gian.
きょう ようじが あります。,Kyou youji ga arimasu.,Hôm nay tôi có việc bận.
ミラーさんは にほんごが じょうずです。,Miraa-san wa nihongo ga jouzu desu.,Anh Miller giỏi tiếng Nhật.
わたしは りょうりが へたです。,Watashi wa ryouri ga heta desu.,Tôi nấu ăn kém.
たなかさんは うたが じょうずです。,Tanaka-san wa uta ga jouzu desu.,Anh Tanaka hát giỏi.
どうして きのう やすみましたか。,Doushite kinou yasumimashita ka.,Sao hôm qua bạn nghỉ?
…ようじが ありましたから。,…Youji ga arimashita kara.,…Vì tôi có việc bận.
じかんが ありませんから、いきません。,"Jikan ga arimasen kara, ikimasen.",Vì không có thời gian nên tôi không đi.
にほんごが すきですから、まいにち べんきょうします。,"Nihongo ga suki desu kara, mainichi benkyou shimasu.",Vì thích tiếng Nhật nên ngày nào tôi cũng học.
わたしは よく えいがを みます。,Watashi wa yoku eiga o mimasu.,Tôi thường xem phim.
おちゃを たくさん のみます。,Ocha o takusan nomimasu.,Tôi uống nhiều trà.
かんじが だいたい わかります。,Kanji ga daitai wakarimasu.,Tôi hiểu kanji đại khái.
スポーツは あまり すきじゃ ありません。,Supootsu wa amari suki ja arimasen.,Tôi không thích thể thao lắm.
カラオケが すきですか。,Karaoke ga suki desu ka.,Bạn có thích karaoke không?
…いいえ、あまり すきじゃ ありません。,"…Iie, amari suki ja arimasen.","…Không, tôi không thích lắm."
わたしは こまかい おかねが ありません。,Watashi wa komakai okane ga arimasen.,Tôi không có tiền lẻ.
コンサートの チケットが あります。,Konsaato no chiketto ga arimasu.,Tôi có vé buổi hòa nhạc.
ざんねんですね。,Zannen desu ne.,Thật đáng tiếc nhỉ.
わたしは りょこうが すきです。,Watashi wa ryokou ga suki desu.,Tôi thích du lịch.
なつやすみに にほんへ りょこうします。,Natsu yasumi ni nihon e ryokou shimasu.,Kỳ nghỉ hè tôi sẽ đi du lịch Nhật Bản.
わたしは まいしゅう アルバイトを します。,Watashi wa maishuu arubaito o shimasu.,Tôi làm thêm mỗi tuần.
おっとは りょうりが じょうずです。,Otto wa ryouri ga jouzu desu.,Chồng tôi nấu ăn giỏi.
かないは うたが すきです。,Kanai wa uta ga suki desu.,Vợ tôi thích ca hát.
ミラーさんは サッカーが すきです。,Miraa-san wa sakkaa ga suki desu.,Anh Miller thích bóng đá.
わたしは テニスが へたです。,Watashi wa tenisu ga heta desu.,Tôi chơi quần vợt kém.
あねは すいえいが じょうずです。,Ane wa suiei ga jouzu desu.,Chị tôi bơi giỏi.
わたしは アニメが すきです。,Watashi wa anime ga suki desu.,Tôi thích phim hoạt hình.
この ペンを かして ください。,Kono pen o kashite kudasai.,Làm ơn cho tôi mượn cây bút này.
いっしょに コンサートに いかがですか。,Issho ni konsaato ni ikaga desu ka.,Cùng đi buổi hòa nhạc nhé?
…いいですよ。,…Ii desu yo.,…Được thôi.
どようびは ちょっと…。,Doyoubi wa chotto….,Thứ bảy thì hơi… (bận).
だめですか。,Dame desu ka.,Không được à?
ざんねんですが、じかんが ありません。,"Zannen desu ga, jikan ga arimasen.",Tiếc là tôi không có thời gian.
また こんど おねがいします。,Mata kondo onegaishimasu.,Lần sau vậy nhé.
ああ、そうですか。,Aa, sou desu ka.,À, vậy à.
