cau,romaji,nghia
いま なんじですか。,Ima nanji desu ka.,Bây giờ mấy giờ?
…いま くじはんです。,…Ima kuji han desu.,…Bây giờ 9 giờ rưỡi.
いま ごぜん しちじです。,Ima gozen shichiji desu.,Bây giờ 7 giờ sáng.
いま ごご よじごじゅっぷんです。,Ima gogo yoji gojuppun desu.,Bây giờ 4 giờ 50 chiều.
まいあさ ろくじに おきます。,Maiasa rokuji ni okimasu.,Mỗi sáng tôi dậy lúc 6 giờ.
きのう べんきょうしました。,Kinou benkyou shimashita.,Hôm qua tôi đã học.
きょう はたらきません。,Kyou hatarakimasen.,Hôm nay tôi không làm việc.
きのう やすみませんでした。,Kinou yasumimasen deshita.,Hôm qua tôi đã không nghỉ.
しちじに おきます。,Shichiji ni okimasu.,Tôi dậy lúc 7 giờ.
にちようびに やすみます。,Nichiyoubi ni yasumimasu.,Chủ nhật tôi nghỉ.
じゅういちじに ねます。,Juuichiji ni nemasu.,Tôi ngủ lúc 11 giờ.
ぎんこうは くじから さんじまでです。,Ginkou wa kuji kara sanji made desu.,Ngân hàng mở từ 9 giờ đến 3 giờ.
まいにち くじから ごじまで はたらきます。,Mainichi kuji kara goji made hatarakimasu.,Mỗi ngày tôi làm từ 9 giờ đến 5 giờ.
しごとは なんじから なんじまでですか。,Shigoto wa nanji kara nanji made desu ka.,Công việc từ mấy giờ đến mấy giờ?
ひるやすみは なんじからですか。,Hiruyasumi wa nanji kara desu ka.,Nghỉ trưa từ mấy giờ?
あさ べんきょうします。,Asa benkyou shimasu.,Buổi sáng tôi học.
こんばん やすみます。,Konban yasumimasu.,Tối nay tôi nghỉ.
あした しけんです。,Ashita shiken desu.,Ngày mai có kỳ thi.
たいへんですね。,Taihen desu ne.,Vất vả nhỉ.
でんわばんごうは なんばんですか。,Denwa bangou wa nanban desu ka.,Số điện thoại là số bao nhiêu?
いま ごご よじです。,Ima gogo yoji desu.,Bây giờ 4 giờ chiều.
いま くじ じゅうごふんです。,Ima kuji juugofun desu.,Bây giờ 9 giờ 15 phút.
いま ごぜん くじはんです。,Ima gozen kuji han desu.,Bây giờ 9 rưỡi sáng.
けさ ろくじに おきました。,Kesa rokuji ni okimashita.,Sáng nay tôi dậy lúc 6 giờ.
きのう じゅうじはんに ねました。,Kinou juuji han ni nemashita.,Hôm qua tôi ngủ lúc 10 rưỡi.
まいばん じゅうにじに ねます。,Maiban juuniji ni nemasu.,Tối nào tôi cũng ngủ lúc 12 giờ.
まいにち はちじはんから ろくじまで はたらきます。,Mainichi hachiji han kara rokuji made hatarakimasu.,Mỗi ngày tôi làm từ 8 rưỡi đến 6 giờ.
きょうは やすみです。,Kyou wa yasumi desu.,Hôm nay là ngày nghỉ.
どようびと にちようびは やすみです。,Doyoubi to nichiyoubi wa yasumi desu.,Thứ bảy và chủ nhật là ngày nghỉ.
まいあさ べんきょうします。,Maiasa benkyou shimasu.,Sáng nào tôi cũng học.
こんばん べんきょうします。,Konban benkyou shimasu.,Tối nay tôi học.
けさ べんきょうしませんでした。,Kesa benkyou shimasen deshita.,Sáng nay tôi đã không học.
かいぎは なんじに おわりますか。,Kaigi wa nanji ni owarimasu ka.,Cuộc họp kết thúc lúc mấy giờ?
…ごご ごじに おわります。,…Gogo goji ni owarimasu.,…Kết thúc lúc 5 giờ chiều.
しけんは じゅうじに おわりました。,Shiken wa juuji ni owarimashita.,Kỳ thi đã kết thúc lúc 10 giờ.
ひるやすみは じゅうにじから いちじまでです。,Hiruyasumi wa juuniji kara ichiji made desu.,Nghỉ trưa từ 12 giờ đến 1 giờ.
デパートは じゅうじから はちじまでです。,Depaato wa juuji kara hachiji made desu.,Trung tâm mua sắm mở từ 10 giờ đến 8 giờ.
ゆうびんきょくは ごご ごじまでです。,Yuubinkyoku wa gogo goji made desu.,Bưu điện mở đến 5 giờ chiều.
としょかんは げつようびから きんようびまでです。,Toshokan wa getsuyoubi kara kinyoubi made desu.,Thư viện mở từ thứ hai đến thứ sáu.
びじゅつかんは かようびは やすみです。,Bijutsukan wa kayoubi wa yasumi desu.,Bảo tàng nghỉ vào thứ ba.
ぎんこうは どようびと にちようびは やすみです。,Ginkou wa doyoubi to nichiyoubi wa yasumi desu.,Ngân hàng nghỉ thứ bảy và chủ nhật.
すいようびに やすみます。,Suiyoubi ni yasumimasu.,Thứ tư tôi nghỉ.
あさ ろくじはんに おきます。,Asa rokuji han ni okimasu.,Buổi sáng tôi dậy lúc 6 rưỡi.
おとといは やすみでした。,Ototoi wa yasumi deshita.,Hôm kia là ngày nghỉ.
あさっては しけんです。,Asatte wa shiken desu.,Ngày mốt có kỳ thi.
まいにち たいへんですね。,Mainichi taihen desu ne.,Ngày nào cũng vất vả nhỉ.
