cau,romaji,nghia
がっこうへ いきます。,Gakkou e ikimasu.,Tôi đi đến trường.
うちへ かえります。,Uchi e kaerimasu.,Tôi về nhà.
きのう スーパーへ いきました。,Kinou suupaa e ikimashita.,Hôm qua tôi đã đi siêu thị.
どこへ いきますか。,Doko e ikimasu ka.,Bạn đi đâu?
…えきへ いきます。,…Eki e ikimasu.,…Tôi đi ga.
でんしゃで いきます。,Densha de ikimasu.,Tôi đi bằng tàu điện.
バスで かいしゃへ いきます。,Basu de kaisha e ikimasu.,Tôi đến công ty bằng xe buýt.
なんで きましたか。,Nan de kimashita ka.,Bạn đến bằng gì?
…タクシーで きました。,…Takushii de kimashita.,…Tôi đến bằng taxi.
あるいて いきます。,Aruite ikimasu.,Tôi đi bộ.
ともだちと いきます。,Tomodachi to ikimasu.,Tôi đi cùng bạn.
かぞくと にほんへ きました。,Kazoku to Nihon e kimashita.,Tôi đến Nhật cùng gia đình.
だれと いきますか。,Dare to ikimasu ka.,Bạn đi với ai?
ひとりで いきます。,Hitori de ikimasu.,Tôi đi một mình.
らいげつ にほんへ いきます。,Raigetsu Nihon e ikimasu.,Tháng sau tôi đi Nhật.
くがつ ふつかに きました。,Kugatsu futsuka ni kimashita.,Tôi đến vào mùng 2 tháng 9.
たんじょうびは いつですか。,Tanjoubi wa itsu desu ka.,Sinh nhật khi nào?
…くがつ ふつかです。,…Kugatsu futsuka desu.,…Mùng 2 tháng 9.
いつ にほんへ きましたか。,Itsu Nihon e kimashita ka.,Bạn đến Nhật khi nào?
…きょねん きました。,…Kyonen kimashita.,…Năm ngoái.
あした だれと どこへ いきますか。,Ashita dare to doko e ikimasu ka.,"Ngày mai bạn đi đâu, với ai?"
せんしゅう ともだちと えきへ いきました。,Senshuu tomodachi to eki e ikimashita.,Tuần trước tôi đã ra ga cùng bạn.
あした がっこうへ いきます。,Ashita gakkou e ikimasu.,Ngày mai tôi đi học.
まいにち でんしゃで がっこうへ いきます。,Mainichi densha de gakkou e ikimasu.,Mỗi ngày tôi đi học bằng tàu điện.
じてんしゃで えきへ いきます。,Jitensha de eki e ikimasu.,Tôi đến ga bằng xe đạp.
ちかてつで かえります。,Chikatetsu de kaerimasu.,Tôi về bằng tàu điện ngầm.
しんかんせんで おおさかへ いきました。,Shinkansen de Oosaka e ikimashita.,Tôi đã đi Osaka bằng tàu siêu tốc.
ひこうきで にほんへ きました。,Hikouki de Nihon e kimashita.,Tôi đến Nhật bằng máy bay.
ふねで きました。,Fune de kimashita.,Tôi đến bằng thuyền.
きのう スーパーへ いきませんでした。,Kinou suupaa e ikimasen deshita.,Hôm qua tôi đã không đi siêu thị.
こんばん うちへ かえりません。,Konban uchi e kaerimasen.,Tối nay tôi không về nhà.
どこへ いきましたか。,Doko e ikimashita ka.,Bạn đã đi đâu?
…デパートへ いきました。,…Depaato e ikimashita.,…Tôi đã đi trung tâm mua sắm.
かのじょと えきへ いきます。,Kanojo to eki e ikimasu.,Tôi đi ga cùng cô ấy.
かれと スーパーへ いきました。,Kare to suupaa e ikimashita.,Tôi đã đi siêu thị cùng anh ấy.
かぞくと うちへ かえります。,Kazoku to uchi e kaerimasu.,Tôi về nhà cùng gia đình.
だれと きましたか。,Dare to kimashita ka.,Bạn đến cùng ai?
…ひとりで きました。,…Hitori de kimashita.,…Tôi đến một mình.
なんで がっこうへ いきますか。,Nan de gakkou e ikimasu ka.,Bạn đi học bằng gì?
…バスで いきます。,…Basu de ikimasu.,…Tôi đi bằng xe buýt.
せんしゅう きょうとへ いきました。,Senshuu Kyouto e ikimashita.,Tuần trước tôi đã đi Kyoto.
らいしゅう ともだちと おおさかへ いきます。,Raishuu tomodachi to Oosaka e ikimasu.,Tuần sau tôi đi Osaka cùng bạn.
せんげつ にほんへ きました。,Sengetsu Nihon e kimashita.,Tháng trước tôi đến Nhật.
らいねん にほんへ いきます。,Rainen Nihon e ikimasu.,Năm sau tôi đi Nhật.
たんじょうびは くがつ とおかです。,Tanjoubi wa kugatsu tooka desu.,Sinh nhật tôi là mùng 10 tháng 9.
たんじょうびは なんがつ なんにちですか。,Tanjoubi wa nangatsu nannichi desu ka.,Sinh nhật bạn là ngày mấy tháng mấy?
…しがつ ついたちです。,…Shigatsu tsuitachi desu.,…Mùng 1 tháng 4.
いつ にほんへ かえりますか。,Itsu Nihon e kaerimasu ka.,Khi nào bạn về Nhật?
…らいげつ かえります。,…Raigetsu kaerimasu.,…Tháng sau tôi về.
じゅうがつ にじゅうよっかに きます。,Juugatsu nijuuyokka ni kimasu.,Tôi sẽ đến vào ngày 24 tháng 10.
びょういんへ いきます。,Byouin e ikimasu.,Tôi đi bệnh viện.
ゆうびんきょくへ いきました。,Yuubinkyoku e ikimashita.,Tôi đã đi bưu điện.
くにへ かえります。,Kuni e kaerimasu.,Tôi về nước.
どこへ かえりますか。,Doko e kaerimasu ka.,Bạn về đâu?
…くにへ かえります。,…Kuni e kaerimasu.,…Tôi về nước.
くるまで かいものへ いきます。,Kuruma de kaimono e ikimasu.,Tôi đi mua sắm bằng ô tô.
オートバイで きました。,Ootobai de kimashita.,Tôi đến bằng xe máy.
なんで うちへ かえりますか。,Nan de uchi e kaerimasu ka.,Bạn về nhà bằng gì?
…でんしゃで かえります。,…Densha de kaerimasu.,…Tôi về bằng tàu điện.
せんせいと びょういんへ いきました。,Sensei to byouin e ikimashita.,Tôi đã đi bệnh viện cùng thầy giáo.
だれと おおさかへ いきますか。,Dare to Oosaka e ikimasu ka.,Bạn đi Osaka với ai?
…ひとりで いきます。,…Hitori de ikimasu.,…Tôi đi một mình.
ことし にほんへ きました。,Kotoshi Nihon e kimashita.,Năm nay tôi đến Nhật.
あさって くにへ かえります。,Asatte kuni e kaerimasu.,Ngày kia tôi về nước.
しがつ みっかに にほんへ きました。,Shigatsu mikka ni Nihon e kimashita.,Tôi đến Nhật vào mùng 3 tháng 4.
やすみは いつですか。,Yasumi wa itsu desu ka.,Kỳ nghỉ khi nào?
…らいしゅうです。,…Raishuu desu.,…Tuần sau.
いつ くにへ かえりますか。,Itsu kuni e kaerimasu ka.,Khi nào bạn về nước?
…らいねん かえります。,…Rainen kaerimasu.,…Năm sau tôi về.
ろくがつ むいかに ともだちと きょうとへ いきます。,Rokugatsu muika ni tomodachi to Kyouto e ikimasu.,Tôi đi Kyoto cùng bạn vào mùng 6 tháng 6.
