cau,romaji,nghia
りんごを みっつ かいました。,Ringo o mittsu kaimashita.,Tôi đã mua ba quả táo.
みかんを ここのつ ください。,Mikan o kokonotsu kudasai.,Cho tôi chín quả quýt.
サンドイッチを ふたつと アイスクリームを ひとつ ください。,Sandoicchi o futatsu to aisukuriimu o hitotsu kudasai.,Cho tôi 2 cái sandwich và 1 cây kem.
はこの なかに みかんが いくつ ありますか。,Hako no naka ni mikan ga ikutsu arimasu ka.,Trong hộp có mấy quả quýt?
…とお あります。,…Too arimasu.,…Có mười quả.
きってを ごまい ください。,Kitte o gomai kudasai.,Cho tôi 5 con tem.
はがきを さんまいと ふうとうを ごまい かいました。,Hagaki o sanmai to fuutou o gomai kaimashita.,Tôi đã mua 3 tấm bưu thiếp và 5 cái phong bì.
うちに くるまが にだい あります。,Uchi ni kuruma ga nidai arimasu.,Nhà tôi có 2 chiếc ô tô.
きょうしつに がくせいが なんにん いますか。,Kyoushitsu ni gakusei ga nannin imasu ka.,Trong lớp có mấy học sinh?
…じゅうごにん います。,…Juugonin imasu.,…Có 15 người.
かぞくは なんにんですか。,Kazoku wa nannin desu ka.,Gia đình bạn có mấy người?
…ごにんです。,…Gonin desu.,…Có 5 người.
きょうだいが ふたり います。,Kyoudai ga futari imasu.,Tôi có hai anh chị em.
こどもが ひとり います。,Kodomo ga hitori imasu.,Tôi có một người con.
あには オーストラリアに います。,Ani wa Oosutoraria ni imasu.,Anh trai tôi đang ở Úc.
あねは ぎんこういんです。おとうとは がくせいです。,Ane wa ginkouin desu. Otouto wa gakusei desu.,Chị gái tôi là nhân viên ngân hàng. Em trai tôi là học sinh.
おにいさんは なんさいですか。,Oniisan wa nansai desu ka.,Anh trai anh/chị bao nhiêu tuổi?
いもうとさんは どこに いますか。,Imouto-san wa doko ni imasu ka.,Em gái anh/chị đang ở đâu?
りょうしんは ベトナムに います。,Ryoushin wa Betonamu ni imasu.,Bố mẹ tôi đang ở Việt Nam.
わたしは にほんに いちねん います。,Watashi wa Nihon ni ichinen imasu.,Tôi ở Nhật một năm.
まいばん しちじかん ねます。,Maiban shichijikan nemasu.,Mỗi tối tôi ngủ 7 tiếng.
うちから かいしゃまで どのくらい かかりますか。,Uchi kara kaisha made donokurai kakarimasu ka.,Từ nhà đến công ty mất bao lâu?
…でんしゃで さんじゅっぷんぐらい かかります。,…Densha de sanjuppun gurai kakarimasu.,…Đi tàu điện mất khoảng 30 phút.
とうきょうから おおさかまで しんかんせんで にじかんはん かかります。,Toukyou kara Oosaka made shinkansen de nijikan han kakarimasu.,Từ Tokyo đến Osaka đi tàu Shinkansen mất 2 tiếng rưỡi.
ふなびんは どのくらい かかりますか。,Funabin wa donokurai kakarimasu ka.,Gửi đường biển mất bao lâu?
…いっかげつぐらい かかります。,…Ikkagetsu gurai kakarimasu.,…Mất khoảng 1 tháng.
いっしゅうかんに にかい テニスを します。,Isshuukan ni nikai tenisu o shimasu.,Một tuần tôi chơi tennis 2 lần.
いちねんに いっかい がいこくへ いきます。,Ichinen ni ikkai gaikoku e ikimasu.,Một năm tôi đi nước ngoài 1 lần.
いちかげつに さんかい えいがを みます。,Ikkagetsu ni sankai eiga o mimasu.,Một tháng tôi xem phim 3 lần.
