cau,romaji,nghia
ごはんを たべます。,Gohan o tabemasu.,Tôi ăn cơm.
ジュースを のみます。,Juusu o nomimasu.,Tôi uống nước ép.
たばこを すいます。,Tabako o suimasu.,Tôi hút thuốc lá.
まいあさ パンを たべます。,Maiasa pan o tabemasu.,Sáng nào tôi cũng ăn bánh mì.
なにを たべますか。,Nani o tabemasu ka.,Bạn ăn gì?
…さかなを たべます。,…Sakana o tabemasu.,…Tôi ăn cá.
なにを のみますか。,Nani o nomimasu ka.,Bạn uống gì?
…おちゃを のみます。,…Ocha o nomimasu.,…Tôi uống trà.
なにを しますか。,Nani o shimasu ka.,Bạn làm gì?
…しゅくだいを します。,…Shukudai o shimasu.,…Tôi làm bài tập về nhà.
えいがを みます。,Eiga o mimasu.,Tôi xem phim.
おんがくを ききます。,Ongaku o kikimasu.,Tôi nghe nhạc.
てがみを かきます。,Tegami o kakimasu.,Tôi viết thư.
しゃしんを とります。,Shashin o torimasu.,Tôi chụp ảnh.
なにも たべません。,Nani mo tabemasen.,Tôi không ăn gì cả.
なにも しませんでした。,Nani mo shimasen deshita.,Tôi đã không làm gì cả.
レストランで ばんごはんを たべます。,Resutoran de bangohan o tabemasu.,Tôi ăn cơm tối ở nhà hàng.
みせで くだものを かいます。,Mise de kudamono o kaimasu.,Tôi mua trái cây ở cửa hàng.
がっこうで にほんごを べんきょうします。,Gakkou de nihongo o benkyou shimasu.,Tôi học tiếng Nhật ở trường.
どこで しゃしんを とりますか。,Doko de shashin o torimasu ka.,Bạn chụp ảnh ở đâu?
…おおさかじょうこうえんで とります。,…Oosakajoukouen de torimasu.,…Tôi chụp ở công viên lâu đài Osaka.
いっしょに ばんごはんを たべませんか。,Isshoni bangohan o tabemasen ka.,Cùng đi ăn cơm tối không?
…ええ、いいですね。,"…Ee, ii desu ne.","…Vâng, hay quá."
いっしょに テニスを しましょう。,Isshoni tenisu o shimashou.,Cùng chơi quần vợt nào.
ちょっと やすみましょう。,Chotto yasumimashou.,Nghỉ một chút nào.
あした おはなみを しませんか。,Ashita ohanami o shimasen ka.,Ngày mai đi ngắm hoa anh đào không?
…いいですね。じゃ、また あした。,"…Ii desu ne. Ja, mata ashita.",…Hay đấy. Vậy hẹn gặp lại ngày mai.
ともだちに あいます。,Tomodachi ni aimasu.,Tôi gặp bạn.
ときどき えいがを みます。,Tokidoki eiga o mimasu.,Thỉnh thoảng tôi xem phim.
ばんごはんを たべます。それから、テレビを みます。,"Bangohan o tabemasu. Sorekara, terebi o mimasu.",Tôi ăn cơm tối. Sau đó xem tivi.
あさごはんを たべます。,Asagohan o tabemasu.,Tôi ăn cơm sáng.
ひるごはんを たべます。,Hirugohan o tabemasu.,Tôi ăn cơm trưa.
たまごを たべます。,Tamago o tabemasu.,Tôi ăn trứng.
にくと やさいを たべます。,Niku to yasai o tabemasu.,Tôi ăn thịt và rau.
くだものを たべます。,Kudamono o tabemasu.,Tôi ăn trái cây.
みずを のみます。,Mizu o nomimasu.,Tôi uống nước.
こうちゃを のみます。,Koucha o nomimasu.,Tôi uống trà đen.
ぎゅうにゅうを のみます。,Gyuunyuu o nomimasu.,Tôi uống sữa bò.
ビールを のみます。,Biiru o nomimasu.,Tôi uống bia.
まいばん おさけを のみます。,Maiban osake o nomimasu.,Tối nào tôi cũng uống rượu.
ビデオを みます。,Bideo o mimasu.,Tôi xem video.
ＣＤを ききます。,Shiidii o kikimasu.,Tôi nghe đĩa CD.
ほんを よみます。,Hon o yomimasu.,Tôi đọc sách.
レポートを かきます。,Repooto o kakimasu.,Tôi viết báo cáo.
パンを かいます。,Pan o kaimasu.,Tôi mua bánh mì.
さかなを かいます。,Sakana o kaimasu.,Tôi mua cá.
サッカーを します。,Sakkaa o shimasu.,Tôi chơi bóng đá.
テニスを します。,Tenisu o shimasu.,Tôi chơi quần vợt.
なにを かいますか。,Nani o kaimasu ka.,Bạn mua gì?
…パンと たまごを かいます。,…Pan to tamago o kaimasu.,…Tôi mua bánh mì và trứng.
なにを よみますか。,Nani o yomimasu ka.,Bạn đọc gì?
…ざっしを よみます。,…Zasshi o yomimasu.,…Tôi đọc tạp chí.
なにも のみません。,Nani mo nomimasen.,Tôi không uống gì cả.
なにも かいませんでした。,Nani mo kaimasen deshita.,Tôi đã không mua gì cả.
うちで えいがを みます。,Uchi de eiga o mimasu.,Tôi xem phim ở nhà.
にわで しゃしんを とります。,Niwa de shashin o torimasu.,Tôi chụp ảnh ở vườn.
レストランで ひるごはんを たべます。,Resutoran de hirugohan o tabemasu.,Tôi ăn cơm trưa ở nhà hàng.
みせで パンを かいます。,Mise de pan o kaimasu.,Tôi mua bánh mì ở cửa hàng.
どこで ほんを かいますか。,Doko de hon o kaimasu ka.,Bạn mua sách ở đâu?
いっしょに えいがを みませんか。,Isshoni eiga o mimasen ka.,Cùng xem phim không?
…ええ、みましょう。,"…Ee, mimashou.",…Vâng cùng xem nào.
いっしょに おちゃを のみませんか。,Isshoni ocha o nomimasen ka.,Cùng uống trà không?
あした サッカーを しましょう。,Ashita sakkaa o shimashou.,Ngày mai cùng chơi bóng đá nào.
あした ともだちに あいます。,Ashita tomodachi ni aimasu.,Ngày mai tôi gặp bạn.
いつも あさごはんを たべます。,Itsumo asagohan o tabemasu.,Lúc nào tôi cũng ăn sáng.
ときどき サッカーを します。,Tokidoki sakkaa o shimasu.,Thỉnh thoảng tôi chơi bóng đá.
しゅくだいを します。それから、テレビを みます。,"Shukudai o shimasu. Sorekara, terebi o mimasu.",Tôi làm bài tập. Sau đó xem tivi.
パーティーを します。,Paatii o shimasu.,Tôi tổ chức tiệc.
うちで パーティーを します。,Uchi de paatii o shimasu.,Tôi tổ chức tiệc ở nhà.
にちようび なにを しますか。,Nichiyoubi nani o shimasu ka.,Chủ nhật bạn làm gì?
…テニスを します。,…Tenisu o shimasu.,…Tôi chơi quần vợt.
としょかんで にほんごを べんきょうします。,Toshokan de nihongo o benkyou shimasu.,Tôi học tiếng Nhật ở thư viện.
えきで しんぶんを かいます。,Eki de shinbun o kaimasu.,Tôi mua báo ở nhà ga.
それは なんですか。,Sore wa nan desu ka.,Cái đó là gì? (何 đọc là なん)
…ざっしです。,…Zasshi desu.,…Là tạp chí.
なんの ざっしですか。,Nan no zasshi desu ka.,Tạp chí về cái gì? (何 đọc là なん)
