jp,romaji,vi,kana
これ,kore,cái này,これ
それ,sore,cái đó,それ
あれ,are,cái kia,あれ
この,kono,~ này,この
その,sono,~ đó,その
あの,ano,~ kia,あの
本,hon,cuốn sách,ほん
辞書,jisho,từ điển,じしょ
雑誌,zasshi,tạp chí,ざっし
新聞,shinbun,báo,しんぶん
ノート,nooto,cuốn vở,のーと
てちょう,techou,sổ tay,てちょう
めいし,meishi,danh thiếp,めいし
カード,kaado,tấm thẻ,かーど
鉛筆,enpitsu,bút chì,えんぴつ
ボールペン,boorupen,bút bi,ぼーるぺん
シャープペンシル,shaapupenshiru,bút chì bấm,しゃーぷぺんしる
鍵,kagi,chìa khóa,かぎ
時計,tokei,đồng hồ,とけい
傘,kasa,cây dù,かさ
かばん,kaban,cái cặp,かばん
シーディー,shiidii,đĩa CD,しーでぃー
テレビ,terebi,tivi,てれび
ラジオ,rajio,radio,らじお
カメラ,kamera,máy ảnh,かめら
コンピューター,konpyuutaa,máy tính,こんぴゅーたー
車,kuruma,xe hơi,くるま
机,tsukue,cái bàn,つくえ
椅子,isu,cái ghế,いす
チョコレート,chokoreeto,socola,ちょこれーと
コーヒー,koohii,cà phê,こーひー
おみやげ,omiyage,quà du lịch,おみやげ
英語,eigo,tiếng Anh,えいご
にほんご,nihongo,tiếng Nhật,にほんご
五,go,tiếng ~,ご
何,nan,cái gì,なん
そう,sou,vậy,そう
あのう,anou,"à, ờ…",あのう
えっ,e,hả?,えっ
どうぞ,douzo,xin mời,どうぞ
どうもありがとうございます,doumo arigatou gozaimasu,xin cảm ơn,どうもありがとうございます
そうですか,sou desu ka,thế à,そうですか
ちがいます,chigaimasu,không phải,ちがいます
これからおせわになります,korekara osewa ni narimasu,từ nay mong anh/chị giúp đỡ tôi,これからおせわになります
こちらこそどうぞよろしくおねがいします,kochira koso douzo yoroshiku onegaishimasu,chính tôi mới là người mong được giúp đỡ,こちらこそどうぞよろしくおねがいします
