jp,romaji,vi,kana
いきます,ikimasu,đi,いきます
きます,kimasu,đến,きます
かえります,kaerimasu,về,かえります
学校,gakkou,trường học,がっこう
スーパー,suupaa,siêu thị,すーぱー
駅,eki,nhà ga,えき
飛行機,hikouki,máy bay,ひこうき
ふね,fune,thuyền,ふね
電車,densha,xe điện,でんしゃ
地下鉄,chikatetsu,tàu điện ngầm,ちかてつ
しんかんせん,shinkansen,tàu điện siêu tốc,しんかんせん
バス,basu,xe buýt,ばす
タクシー,takushii,taxi,たくしー
自転車,jitensha,xe đạp,じてんしゃ
あるいて,aruite,đi bộ,あるいて
人,hito,người,ひと
友達,tomodachi,bạn bè,ともだち
かれ,kare,anh ấy,かれ
かのじょ,kanojo,cô ấy,かのじょ
家族,kazoku,gia đình,かぞく
ひとりで,hitoride,một mình,ひとりで
先週,senshuu,tuần trước,せんしゅう
今週,konshuu,tuần này,こんしゅう
来週,raishuu,tuần tới,らいしゅう
先月,sengetsu,tháng trước,せんげつ
今月,kongetsu,tháng này,こんげつ
来月,raigetsu,tháng tới,らいげつ
去年,kyonen,năm ngoái,きょねん
今年,kotoshi,năm nay,ことし
来年,rainen,năm tới,らいねん
ねん,nen,năm ~,ねん
なんねん,nannen,năm bao nhiêu,なんねん
がつ,gatsu,tháng ~,がつ
なんがつ,nangatsu,tháng mấy,なんがつ
一日,tsuitachi,ngày mùng 1,ついたち
二日,futsuka,mùng 2 / 2 ngày,ふつか
三日,mikka,mùng 3 / 3 ngày,みっか
四日,yokka,mùng 4 / 4 ngày,よっか
五日,itsuka,mùng 5 / 5 ngày,いつか
六日,muika,mùng 6 / 6 ngày,むいか
七日,nanoka,mùng 7 / 7 ngày,なのか
八日,youka,mùng 8 / 8 ngày,ようか
九日,kokonoka,mùng 9 / 9 ngày,ここのか
十日,tooka,mùng 10 / 10 ngày,とおか
じゅうよっか,juuyokka,mùng 14 / 14 ngày,じゅうよっか
じゅうしちにち,juushichinichi,mùng 17 / 17 ngày,じゅうしちにち
じゅうくにち,juukunichi,mùng 19 / 19 ngày,じゅうくにち
二十日,hatsuka,mùng 20 / 20 ngày,はつか
にじゅうよっか,nijuuyokka,mùng 24 / 24 ngày,にじゅうよっか
にじゅうしちにち,nijuushichinichi,mùng 27 / 27 ngày,にじゅうしちにち
にじゅうくにち,nijuukunichi,mùng 29 / 29 ngày,にじゅうくにち
なんにち,nannichi,ngày mấy / mấy ngày,なんにち
いつ,itsu,khi nào,いつ
誕生日,tanjoubi,sinh nhật,たんじょうび
そうですね,sou desu ne,thế à!,そうですね
どうもありがとうございました,doumo arigatou gozaimashita,xin cảm ơn rất nhiều,どうもありがとうございました
どういたしまして,dou itashimashite,không có gì đâu,どういたしまして
