jp,romaji,vi
ここは きょうしつです。,Koko wa kyoushitsu desu.,Đây là lớp học.
そこは しょくどうです。,Soko wa shokudou desu.,Đó là nhà ăn.
あそこは じむしょです。,Asoko wa jimusho desu.,Kia là văn phòng.
トイレは どこですか。,Toire wa doko desu ka.,Nhà vệ sinh ở đâu?
…トイレは あそこです。,…Toire wa asoko desu.,…Nhà vệ sinh ở đằng kia.
エレベーターは どこですか。,Erebeetaa wa doko desu ka.,Thang máy ở đâu?
…エレベーターは あちらです。,…Erebeetaa wa achira desu.,…Thang máy ở phía kia.
かいぎしつは こちらです。,Kaigishitsu wa kochira desu.,Phòng họp ở phía này.
おくには どちらですか。,Okuni wa dochira desu ka.,Quý quốc là nước nào?
…にほんです。,…Nihon desu.,…Nhật Bản.
でんわは にかいです。,Denwa wa nikai desu.,Điện thoại ở tầng 2.
うけつけは いっかいです。,Uketsuke wa ikkai desu.,Lễ tân ở tầng 1.
ミラーさんは じむしょです。,Miraa-san wa jimusho desu.,Anh Miller ở văn phòng.
それは どこの くるまですか。,Sore wa doko no kuruma desu ka.,Đó là xe của nước nào?
…にほんの くるまです。,…Nihon no kuruma desu.,…Là xe của Nhật.
これは どこの コンピューターですか。,Kore wa doko no konpyuutaa desu ka.,Đây là máy tính của hãng nào?
これは いくらですか。,Kore wa ikura desu ka.,Cái này bao nhiêu tiền?
…せんえんです。,…Sen en desu.,…1000 yên.
このくつは いくらですか。,Kono kutsu wa ikura desu ka.,Đôi giày này bao nhiêu tiền?
…ごせんえんです。,…Gosen en desu.,…5000 yên.
いらっしゃいませ。,Irasshaimase.,Xin chào quý khách.
すみません、それを みせてください。,"Sumimasen, sore o misete kudasai.","Xin lỗi, cho tôi xem cái đó."
じゃ、これを ください。,"Ja, kore o kudasai.","Vậy, cho tôi cái này."
