jp,romaji,vi
これは ほんです。,Kore wa hon desu.,Đây là quyển sách.
それは じしょです。,Sore wa jisho desu.,Đó là từ điển.
あれは とけいです。,Are wa tokei desu.,Kia là đồng hồ.
これは ざっしです。,Kore wa zasshi desu.,Đây là tạp chí.
この ほんは にほんごの ほんです。,Kono hon wa nihongo no hon desu.,Quyển sách này là sách tiếng Nhật.
その かばんは わたしのです。,Sono kaban wa watashi no desu.,Cái cặp đó là của tôi.
あの ひとは ミラーさんです。,Ano hito wa Miraa-san desu.,Người kia là anh Miller.
この えんぴつは あなたのですか。,Kono enpitsu wa anata no desu ka.,Cây bút chì này là của bạn phải không?
それは ノートですか。,Sore wa nooto desu ka.,Đó là quyển vở phải không?
…はい、そうです。,"…Hai, sou desu.","…Vâng, đúng vậy."
これは ボールペンですか。,Kore wa boorupen desu ka.,Đây là bút bi phải không?
…いいえ、そうじゃ ありません。シャープペンシルです。,"…Iie, sou ja arimasen. Shaapupenshiru desu.","…Không, không phải. Là bút chì bấm."
それは なんですか。,Sore wa nan desu ka.,Đó là cái gì vậy?
…これは めいしです。,…Kore wa meishi desu.,…Đây là danh thiếp.
これは なんの ほんですか。,Kore wa nan no hon desu ka.,Đây là sách về cái gì?
…にほんごの ほんです。,…Nihongo no hon desu.,…Là sách tiếng Nhật.
これは わたしの かさです。,Kore wa watashi no kasa desu.,Đây là cây dù của tôi.
あの くるまは サントスさんのです。,Ano kuruma wa Santosu-san no desu.,Chiếc xe kia là của anh Santos.
この とけいは にほんのです。,Kono tokei wa Nihon no desu.,Cái đồng hồ này là hàng Nhật.
これは だれの かばんですか。,Kore wa dare no kaban desu ka.,Đây là cặp của ai?
…わたしのです。,…Watashi no desu.,…Của tôi.
その かぎは だれのですか。,Sono kagi wa dare no desu ka.,Chìa khóa đó là của ai?
…ミラーさんのです。,…Miraa-san no desu.,…Của anh Miller.
それは えんぴつですか、ボールペンですか。,"Sore wa enpitsu desu ka, boorupen desu ka.",Đó là bút chì hay bút bi?
…ボールペンです。,…Boorupen desu.,…Là bút bi.
これは コーヒーですか、こうちゃですか。,"Kore wa koohii desu ka, koucha desu ka.",Đây là cà phê hay trà?
あのう、それは なんですか。,"Anou, sore wa nan desu ka.","À, cái đó là gì vậy?"
これは おみやげです。どうぞ。,Kore wa omiyage desu. Douzo.,Đây là quà. Xin mời.
…どうも ありがとう ございます。,…Doumo arigatou gozaimasu.,…Xin cảm ơn.
そうですか。,Sou desu ka.,Thế à.
