jp,romaji,vi,kana
ここ,koko,chỗ này,ここ
そこ,soko,chỗ đó,そこ
あそこ,asoko,chỗ kia,あそこ
どこ,doko,ở đâu,どこ
こちら,kochira,chỗ này (lịch sự của ここ),こちら
そちら,sochira,chỗ đó (lịch sự của そこ),そちら
あちら,achira,chỗ kia (lịch sự của あそこ),あちら
どちら,dochira,ở đâu (lịch sự của どこ),どちら
教室,kyoushitsu,lớp học,きょうしつ
食堂,shokudou,nhà ăn,しょくどう
じむしょ,jimusho,văn phòng,じむしょ
かいぎしつ,kaigishitsu,phòng họp,かいぎしつ
うけつけ,uketsuke,lễ tân,うけつけ
ロビー,robii,sảnh đợi,ろびー
部屋,heya,căn phòng,へや
トイレ,toire,nhà vệ sinh — lịch sự: おてあらい,といれ
階段,kaidan,cầu thang,かいだん
エレベーター,erebeetaa,thang máy,えれべーたー
エスカレーター,esukareetaa,thang cuốn,えすかれーたー
じどうはんばいき,jidouhanbaiki,máy bán hàng tự động,じどうはんばいき
電話,denwa,điện thoại,でんわ
国,kuni,đất nước (của tôi),くに
おくに,okuni,đất nước (của bạn),おくに
会社,kaisha,công ty,かいしゃ
うち,uchi,nhà,うち
靴,kutsu,giày,くつ
ネクタイ,nekutai,cà vạt,ねくたい
ワイン,wain,rượu,わいん
うりば,uriba,quầy bán hàng,うりば
ちか,chika,tầng hầm,ちか
かい,kai,tầng (~がい),かい
なんがい,nangai,tầng mấy,なんがい
えん,en,yên,えん
いくら,ikura,bao nhiêu tiền,いくら
百,hyaku,trăm,ひゃく
千,sen,nghìn,せん
万,man,mười nghìn,まん
すみません,sumimasen,xin lỗi,すみません
どうも,doumo,cảm ơn,どうも
いらっしゃいませ,irasshaimase,xin chào quý khách,いらっしゃいませ
をみせてください,misete kudasai,cho tôi xem ~,みせてください
じゃ、をください,"ja, kudasai",cho tôi ~,じゃください
イタリア,itaria,Ý,いたりあ
スイス,suisu,Thụy Sĩ,すいす
