jp,romaji,vi
いま なんじですか。,Ima nanji desu ka.,Bây giờ mấy giờ?
…いま くじはんです。,…Ima kuji han desu.,…Bây giờ 9 giờ rưỡi.
いま ごぜん しちじです。,Ima gozen shichiji desu.,Bây giờ 7 giờ sáng.
いま ごご よじごじゅっぷんです。,Ima gogo yoji gojuppun desu.,Bây giờ 4 giờ 50 chiều.
まいあさ ろくじに おきます。,Maiasa rokuji ni okimasu.,Mỗi sáng tôi dậy lúc 6 giờ.
きのう べんきょうしました。,Kinou benkyou shimashita.,Hôm qua tôi đã học.
きょう はたらきません。,Kyou hatarakimasen.,Hôm nay tôi không làm việc.
きのう やすみませんでした。,Kinou yasumimasen deshita.,Hôm qua tôi đã không nghỉ.
しちじに おきます。,Shichiji ni okimasu.,Tôi dậy lúc 7 giờ.
にちようびに やすみます。,Nichiyoubi ni yasumimasu.,Chủ nhật tôi nghỉ.
じゅういちじに ねます。,Juuichiji ni nemasu.,Tôi ngủ lúc 11 giờ.
ぎんこうは くじから さんじまでです。,Ginkou wa kuji kara sanji made desu.,Ngân hàng mở từ 9 giờ đến 3 giờ.
まいにち くじから ごじまで はたらきます。,Mainichi kuji kara goji made hatarakimasu.,Mỗi ngày tôi làm từ 9 giờ đến 5 giờ.
しごとは なんじから なんじまでですか。,Shigoto wa nanji kara nanji made desu ka.,Công việc từ mấy giờ đến mấy giờ?
ひるやすみは なんじからですか。,Hiruyasumi wa nanji kara desu ka.,Nghỉ trưa từ mấy giờ?
あさ べんきょうします。,Asa benkyou shimasu.,Buổi sáng tôi học.
こんばん やすみます。,Konban yasumimasu.,Tối nay tôi nghỉ.
あした しけんです。,Ashita shiken desu.,Ngày mai có kỳ thi.
たいへんですね。,Taihen desu ne.,Vất vả nhỉ.
でんわばんごうは なんばんですか。,Denwa bangou wa nanban desu ka.,Số điện thoại là số bao nhiêu?
