cau,romaji,nghia
ここで しゃしんを とらないで ください。,Koko de shashin o toranai de kudasai.,Xin đừng chụp ảnh ở đây.
この へやに はいらないで ください。,Kono heya ni hairanai de kudasai.,Xin đừng vào phòng này.
ここに くるまを とめないで ください。,Koko ni kuruma o tomenai de kudasai.,Xin đừng đỗ xe ở đây.
あぶないですから、ここで あそばないで ください。,"Abunai desu kara, koko de asobanai de kudasai.","Vì nguy hiểm nên xin đừng chơi ở đây."
だいじょうぶですから、しんぱいしないで ください。,"Daijoubu desu kara, shinpai shinai de kudasai.","Tôi không sao đâu, đừng lo cho tôi."
まだ ここで まって います。かえらないで ください。,Mada koko de matte imasu. Kaeranai de kudasai.,Tôi vẫn đợi ở đây. Xin đừng về vội.
としょかんの ほんに なまえを かかないで ください。,Toshokan no hon ni namae o kakanai de kudasai.,Xin đừng viết tên vào sách của thư viện.
ねつが ありますから、おふろに はいらないで ください。,"Netsu ga arimasu kara, ofuro ni hairanai de kudasai.","Vì bạn đang sốt nên đừng tắm bồn."
びょうきですから、おさけを のまないで ください。,"Byouki desu kara, osake o nomanai de kudasai.","Vì bạn đang bị bệnh nên xin đừng uống rượu."
ここで たばこを すわないで ください。,Koko de tabako o suwanai de kudasai.,Xin đừng hút thuốc ở đây.
くすりを のまなければ なりません。,Kusuri o nomanakereba narimasen.,Tôi phải uống thuốc.
まいにち にほんごを べんきょうしなければ なりません。,Mainichi nihongo o benkyou shinakereba narimasen.,Ngày nào tôi cũng phải học tiếng Nhật.
あした はやい でんしゃに のらなければ なりません。,Ashita hayai densha ni noranakereba narimasen.,Ngày mai tôi phải đi chuyến tàu sớm.
くつを ぬがなければ なりませんか。,Kutsu o nuganakereba narimasen ka.,Tôi có phải cởi giày không?
…はい、ぬがなければ なりません。,"…Hai, nuganakereba narimasen.","…Vâng, bạn phải cởi giày."
パスポートを もって いかなければ なりません。,Pasupooto o motte ikanakereba narimasen.,Tôi phải mang hộ chiếu đi.
レポートは きんようびまでに ださなければ なりません。,Repooto wa kinyoubi made ni dasanakereba narimasen.,Bài báo cáo thì phải nộp trước thứ sáu.
ごじまでに かえらなければ なりません。,Go-ji made ni kaeranakereba narimasen.,Tôi phải về trước 5 giờ.
らいしゅうまでに この ほんを かえさなければ なりません。,Raishuu made ni kono hon o kaesanakereba narimasen.,Tôi phải trả quyển sách này trước tuần sau.
あした こなくても いいです。,Ashita konakute mo ii desu.,Ngày mai bạn không cần đến cũng được.
にちようびですから、あさ ろくじに おきなくても いいです。,"Nichiyoubi desu kara, asa roku-ji ni okinakute mo ii desu.","Vì là chủ nhật nên không cần dậy lúc 6 giờ sáng."
おかねを はらわなくても いいです。,Okane o harawanakute mo ii desu.,Bạn không cần trả tiền.
あした しごとが ありませんから、かいしゃへ いかなくても いいです。,"Ashita shigoto ga arimasen kara, kaisha e ikanakute mo ii desu.","Ngày mai không có việc nên tôi không cần đến công ty."
うわぎは ぬがなくても いいです。,Uwagi wa nuganakute mo ii desu.,Bạn không cần cởi áo khoác.
きょうは ざんぎょうしなくても いいです。,Kyou wa zangyou shinakute mo ii desu.,Hôm nay bạn không cần làm thêm giờ.
どう しましたか。,Dou shimashita ka.,Bạn bị làm sao thế?
…のどが いたいです。それから、ねつも あります。,"…Nodo ga itai desu. Sorekara, netsu mo arimasu.","…Tôi bị đau họng. Và tôi cũng bị sốt nữa."
それは いけませんね。かぜですね。,Sore wa ikemasen ne. Kaze desu ne.,Thế thì gay quá nhỉ. Bạn bị cảm rồi.
くすりを のんで、２、３にち やすんで ください。,"Kusuri o nonde, ni-san nichi yasunde kudasai.","Hãy uống thuốc và nghỉ 2, 3 ngày."
おふろに はいっても いいですか。,Ofuro ni haitte mo ii desu ka.,Tôi tắm bồn có được không?
…いいえ、きょうは はいらないで ください。,"…Iie, kyou wa hairanai de kudasai.","…Không, hôm nay xin đừng tắm bồn."
ほけんしょうを みせて ください。,Hokenshou o misete kudasai.,Xin cho tôi xem thẻ bảo hiểm y tế.
ここは きんえんですから、たばこを すわないで ください。,"Koko wa kin'en desu kara, tabako o suwanai de kudasai.","Ở đây cấm hút thuốc nên xin đừng hút."
せきが でて、はなみずも でます。,"Seki ga dete, hanamizu mo demasu.","Tôi bị ho và cũng sổ mũi nữa."
かぜを ひきましたから、きょうは でかけません。,"Kaze o hikimashita kara, kyou wa dekakemasen.","Vì tôi bị cảm nên hôm nay không ra ngoài."
あしに けがを しましたから、うんどうしないで ください。,"Ashi ni kega o shimashita kara, undou shinai de kudasai.","Vì bạn bị thương ở chân nên đừng vận động."
かたが こりますから、まいばん おふろに はいります。,"Kata ga korimasu kara, maiban ofuro ni hairimasu.","Vì mỏi vai nên tối nào tôi cũng tắm bồn."
しょくよくが ありませんから、なにも たべたくないです。,"Shokuyoku ga arimasen kara, nani mo tabetakunai desu.","Vì không muốn ăn nên tôi không muốn ăn gì cả."
おだいじに。,Odaiji ni.,Anh/chị giữ gìn sức khỏe nhé.
あたまが いたいですから、きょうは かいしゃを やすみます。,"Atama ga itai desu kara, kyou wa kaisha o yasumimasu.","Vì đau đầu nên hôm nay tôi nghỉ làm."
はが いたいですから、はいしゃへ いかなければ なりません。,"Ha ga itai desu kara, haisha e ikanakereba narimasen.","Vì đau răng nên tôi phải đi nha sĩ."
びょうきの ひとは まいにち くすりを のまなければ なりません。,Byouki no hito wa mainichi kusuri o nomanakereba narimasen.,Người bệnh phải uống thuốc mỗi ngày.
からだに いいですから、まいあさ うんどうして います。,"Karada ni ii desu kara, maiasa undou shite imasu.","Vì tốt cho sức khỏe nên sáng nào tôi cũng vận động."
これは だいじな しりょうですから、なくさないで ください。,"Kore wa daiji na shiryou desu kara, nakusanai de kudasai.","Đây là tài liệu quan trọng nên xin đừng làm mất."
したぎと うわぎは かばんに いれて ください。,Shitagi to uwagi wa kaban ni irete kudasai.,Đồ lót và áo khoác thì xin hãy cho vào cặp.
