tiengNhat,romaji,nghia,kana,phuluc
食べます,tabemasu,ăn,たべます,
飲みます,nomimasu,uống,のみます,
吸います,suimasu,hút (thuốc lá),すいます,
見ます,mimasu,"xem, nhìn, trông",みます,
聞きます,kikimasu,nghe,ききます,
読みます,yomimasu,đọc,よみます,
書きます,kakimasu,"viết, vẽ",かきます,
買います,kaimasu,mua,かいます,
撮ります,torimasu,chụp (ảnh),とります,
します,shimasu,làm,します,
会います,aimasu,gặp (bạn),あいます,
御飯,gohan,"cơm, bữa ăn",ごはん,
朝ごはん,asagohan,cơm sáng,あさごはん,
昼ごはん,hirugohan,cơm trưa,ひるごはん,
晩ごはん,bangohan,cơm tối,ばんごはん,
パン,pan,bánh mì,ぱん,
卵,tamago,trứng,たまご,
肉,niku,thịt,にく,
魚,sakana,cá,さかな,
野菜,yasai,rau,やさい,
果物,kudamono,"hoa quả, trái cây",くだもの,
水,mizu,nước,みず,
お茶,ocha,trà (nói chung),おちゃ,
紅茶,koucha,trà đen,こうちゃ,
牛乳,gyuunyuu,sữa bò,ぎゅうにゅう,
ミルク,miruku,sữa (milk),みるく,
ジュース,juusu,nước ép trái cây,じゅーす,
ビール,biiru,bia,びーる,
お酒,osake,"rượu, sake",おさけ,
ビデオ,bideo,"video, băng/đầu video",びでお,
映画,eiga,"phim, điện ảnh",えいが,
ＣＤ,shiidii,đĩa CD,しーでぃー,
手紙,tegami,thư,てがみ,
レポート,repooto,báo cáo,れぽーと,
写真,shashin,ảnh,しゃしん,
店,mise,"cửa hàng, tiệm",みせ,
レストラン,resutoran,nhà hàng,れすとらん,
庭,niwa,vườn,にわ,
宿題,shukudai,bài tập về nhà,しゅくだい,
テニス,tenisu,quần vợt,てにす,
サッカー,sakkaa,bóng đá,さっかー,
パーティー,paatii,"tiệc, bữa tiệc",ぱーてぃー,
お花見,ohanami,ngắm hoa anh đào,おはなみ,
何,nani,cái gì,なに,
いっしょに,isshoni,"cùng, cùng nhau",いっしょに,
ちょっと,chotto,một chút,ちょっと,
いつも,itsumo,luôn luôn,いつも,
時々,tokidoki,thỉnh thoảng,ときどき,
それから,sorekara,"sau đó, tiếp theo",それから,
ええ,ee,vâng (thân mật),ええ,
いいですね,iidesune,được đấy nhỉ / hay quá,いいですね,
わかりました,wakarimashita,tôi hiểu rồi / vâng ạ,わかりました,
何ですか,nandesuka,cái gì vậy? / có gì thế?,なんですか,
じゃ、また,jamata,hẹn gặp lại (nhé),じゃまた,
メキシコ,mekishiko,Mexico,めきしこ,
大阪城公園,oosakajoukouen,Công viên lâu đài Osaka,おおさかじょうこうえん,
胡瓜,kyuuri,dưa chuột (dưa leo),きゅうり,1
トマト,tomato,cà chua,とまと,1
茄子,nasu,cà tím,なす,1
豆,mame,đậu,まめ,1
キャベツ,kyabetsu,bắp cải,きゃべつ,1
葱,negi,hành lá / boa rô,ねぎ,1
白菜,hakusai,cải thảo,はくさい,1
ほうれん草,hourensou,cải bó xôi (rau chân vịt),ほうれんそう,1
レタス,retasu,xà lách,れたす,1
じゃがいも,jagaimo,khoai tây,じゃがいも,1
大根,daikon,củ cải trắng,だいこん,1
玉ねぎ,tamanegi,hành tây,たまねぎ,1
人参,ninjin,cà rốt,にんじん,1
苺,ichigo,dâu tây,いちご,1
桃,momo,đào,もも,1
西瓜,suika,dưa hấu,すいか,1
葡萄,budou,nho,ぶどう,1
梨,nashi,lê,なし,1
柿,kaki,hồng,かき,1
蜜柑,mikan,quýt,みかん,1
林檎,ringo,táo,りんご,1
バナナ,banana,chuối,ばなな,1
牛肉,gyuuniku,thịt bò,ぎゅうにく,1
鶏肉,toriniku,thịt gà,とりにく,1
豚肉,butaniku,thịt heo/lợn,ぶたにく,1
ソーセージ,sooseeji,xúc xích,そーせーじ,1
ハム,hamu,giăm bông (ham),はむ,1
鯵,aji,cá sòng,あじ,1
鰯,iwashi,cá mòi,いわし,1
鯖,saba,cá thu,さば,1
秋刀魚,sanma,cá thu đao,さんま,1
鮭,sake,cá hồi,さけ,1
鮪,maguro,cá ngừ,まぐろ,1
鯛,tai,cá tráp (sea bream),たい,1
鱈,tara,cá tuyết,たら,1
海老,ebi,tôm,えび,1
蟹,kani,cua,かに,1
烏賊,ika,mực,いか,1
蛸,tako,bạch tuộc,たこ,1
