cau,romaji,nghia
わたしは にほんの えいがが すきです。,Watashi wa nihon no eiga ga suki desu.,Tôi thích phim Nhật.
わたしは やさいが きらいです。,Watashi wa yasai ga kirai desu.,Tôi ghét rau.
ミラーさんは スポーツが すきです。,Miraa-san wa supootsu ga suki desu.,Anh Miller thích thể thao.
なにが すきですか。,Nani ga suki desu ka.,Bạn thích gì?
…おんがくが すきです。,…Ongaku ga suki desu.,…Tôi thích âm nhạc.
わたしは にほんごが すこし わかります。,Watashi wa nihongo ga sukoshi wakarimasu.,Tôi hiểu tiếng Nhật một chút.
かんじが ぜんぜん わかりません。,Kanji ga zenzen wakarimasen.,Tôi hoàn toàn không hiểu kanji.
わたしは くるまが あります。,Watashi wa kuruma ga arimasu.,Tôi có xe ô tô.
じかんが ありません。,Jikan ga arimasen.,Tôi không có thời gian.
きょう ようじが あります。,Kyou youji ga arimasu.,Hôm nay tôi có việc bận.
ミラーさんは にほんごが じょうずです。,Miraa-san wa nihongo ga jouzu desu.,Anh Miller giỏi tiếng Nhật.
わたしは りょうりが へたです。,Watashi wa ryouri ga heta desu.,Tôi nấu ăn kém.
たなかさんは うたが じょうずです。,Tanaka-san wa uta ga jouzu desu.,Anh Tanaka hát giỏi.
どうして きのう やすみましたか。,Doushite kinou yasumimashita ka.,Sao hôm qua bạn nghỉ?
…ようじが ありましたから。,…Youji ga arimashita kara.,…Vì tôi có việc bận.
じかんが ありませんから、いきません。,"Jikan ga arimasen kara, ikimasen.",Vì không có thời gian nên tôi không đi.
にほんごが すきですから、まいにち べんきょうします。,"Nihongo ga suki desu kara, mainichi benkyou shimasu.",Vì thích tiếng Nhật nên ngày nào tôi cũng học.
わたしは よく えいがを みます。,Watashi wa yoku eiga o mimasu.,Tôi thường xem phim.
おちゃを たくさん のみます。,Ocha o takusan nomimasu.,Tôi uống nhiều trà.
かんじが だいたい わかります。,Kanji ga daitai wakarimasu.,Tôi hiểu kanji đại khái.
スポーツは あまり すきじゃ ありません。,Supootsu wa amari suki ja arimasen.,Tôi không thích thể thao lắm.
カラオケが すきですか。,Karaoke ga suki desu ka.,Bạn có thích karaoke không?
…いいえ、あまり すきじゃ ありません。,"…Iie, amari suki ja arimasen.","…Không, tôi không thích lắm."
わたしは こまかい おかねが ありません。,Watashi wa komakai okane ga arimasen.,Tôi không có tiền lẻ.
コンサートの チケットが あります。,Konsaato no chiketto ga arimasu.,Tôi có vé buổi hòa nhạc.
ざんねんですね。,Zannen desu ne.,Thật đáng tiếc nhỉ.
