tiengNhat,romaji,nghia,kana,phuluc
つけます,tsukemasu,"bật (điện, máy)",つけます,
消します,keshimasu,"tắt, xóa",けします,
開けます,akemasu,mở,あけます,
閉めます,shimemasu,đóng,しめます,
急ぎます,isogimasu,"vội, khẩn trương",いそぎます,
待ちます,machimasu,đợi,まちます,
持ちます,mochimasu,"cầm, mang",もちます,
取ります,torimasu,lấy (しおを とります),とります,
手伝います,tetsudaimasu,giúp đỡ,てつだいます,
呼びます,yobimasu,"gọi (người, taxi)",よびます,
話します,hanashimasu,"nói, nói chuyện",はなします,
使います,tsukaimasu,"dùng, sử dụng",つかいます,
座ります,suwarimasu,ngồi,すわります,
立ちます,tachimasu,đứng,たちます,
入ります,hairimasu,vào (きっさてんに はいります),はいります,
出ます,demasu,"ra, ra khỏi (きっさてんを でます)",でます,
見せます,misemasu,"cho xem, trình ra",みせます,
教えます,oshiemasu,"dạy, chỉ cho biết (じゅうしょを おしえます)",おしえます,
始めます,hajimemasu,bắt đầu,はじめます,
降ります,furimasu,"rơi, đổ (あめが ふります)",ふります,
止めます,tomemasu,"dừng, đỗ (xe)",とめます,
曲がります,magarimasu,"rẽ, quẹo",まがります,
コピーします,kopii shimasu,"photocopy, sao chép",コピーします,
電気,denki,"điện, đèn điện",でんき,
エアコン,eakon,máy điều hòa (nhiệt độ),エアコン,
パスポート,pasupooto,hộ chiếu,パスポート,
名前,namae,tên,なまえ,
住所,juusho,địa chỉ,じゅうしょ,
地図,chizu,bản đồ,ちず,
塩,shio,muối,しお,
砂糖,satou,đường (gia vị),さとう,
問題,mondai,"câu hỏi, vấn đề",もんだい,
答え,kotae,câu trả lời,こたえ,
読み方,yomikata,cách đọc,よみかた,
～方,kata,cách ~ (つかいかた: cách dùng),かた,
信号,shingou,đèn tín hiệu,しんごう,
まっすぐ,massugu,thẳng,まっすぐ,
ゆっくり,yukkuri,"chậm rãi, thong thả",ゆっくり,
すぐ,sugu,ngay lập tức,すぐ,
また,mata,"lại, lần nữa",また,
あとで,ato de,"lát nữa, sau",あとで,
もう少し,mou sukoshi,thêm một chút,もう すこし,
もう～,mou,thêm ~ nữa (もう いっぱい: thêm một cốc),もう,
いいですよ,ii desu yo,được thôi,いいですよ,
さあ,saa,"nào, thôi nào",さあ,
あれ？,are,"ơ?, ủa? (khi ngạc nhiên)",あれ,
おつり,otsuri,"tiền thừa, tiền thối lại",おつり,
これで お願いします,kore de onegai shimasu,gửi anh/chị tiền này,これで おねがいします,
信号を 右へ 曲がって ください,shingou o migi e magatte kudasai,anh/chị hãy rẽ phải ở chỗ đèn tín hiệu,しんごうを みぎへ まがって ください,
切符売り場,kippu uriba,chỗ bán vé,きっぷうりば,1
券売機,kenbaiki,máy bán vé tự động,けんばいき,1
精算機,seisanki,máy thanh toán tiền vé còn thiếu,せいさんき,1
改札口,kaisatsuguchi,cửa soát vé,かいさつぐち,1
出口,deguchi,cửa ra,でぐち,1
入口,iriguchi,cửa vào,いりぐち,1
東口,higashiguchi,cửa Đông,ひがしぐち,1
西口,nishiguchi,cửa Tây,にしぐち,1
南口,minamiguchi,cửa Nam,みなみぐち,1
北口,kitaguchi,cửa Bắc,きたぐち,1
中央口,chuuouguchi,cửa Trung tâm,ちゅうおうぐち,1
ホーム,hoomu,sân ga,ホーム,1
売店,baiten,"quầy bán hàng, ki-ốt",ばいてん,1
コインロッカー,koin rokkaa,hòm để đồ cho thuê bằng tiền xu,コインロッカー,1
タクシー乗り場,takushii noriba,điểm lên xe taxi,タクシーのりば,1
バス停,basu tei,bến xe buýt,バスてい,1
バス乗り場,basu noriba,điểm lên xuống xe buýt,バスのりば,1
特急,tokkyuu,tốc hành đặc biệt,とっきゅう,1
急行,kyuukou,tốc hành,きゅうこう,1
快速,kaisoku,nhanh (tàu tốc độ cao),かいそく,1
準急,junkyuu,bán tốc hành,じゅんきゅう,1
普通,futsuu,"(tàu) thường, địa phương",ふつう,1
時刻表,jikokuhyou,bảng giờ chạy tàu,じこくひょう,1
～発,hatsu,xuất phát từ ~ (とうきょうはつ),はつ,1
～着,chaku,đến ~ (おおさかちゃく),ちゃく,1
～行き,yuki,đi ~ (とうきょうゆき: đi Tokyo),ゆき,1
定期券,teikiken,vé tháng,ていきけん,1
回数券,kaisuuken,vé giảm giá khi đi nhiều lần,かいすうけん,1
片道,katamichi,một chiều,かたみち,1
往復,oufuku,"hai chiều, đi và về",おうふく,1
