cau,romaji,nghia
さくらは きれいです。,Sakura wa kirei desu.,Hoa anh đào đẹp.
ふじさんは たかいです。,Fujisan wa takai desu.,Núi Phú Sĩ cao.
この へやは おおきいです。,Kono heya wa ookii desu.,Phòng này to.
にほんごは むずかしいです。,Nihongo wa muzukashii desu.,Tiếng Nhật khó.
この ほんは おもしろいです。,Kono hon wa omoshiroi desu.,Cuốn sách này thú vị.
きょうは あついです。,Kyou wa atsui desu.,Hôm nay nóng.
この たべものは おいしいです。,Kono tabemono wa oishii desu.,Món ăn này ngon.
きょうとは ゆうめいです。,Kyouto wa yuumei desu.,Kyoto nổi tiếng.
ミラーさんは しんせつです。,Miraa-san wa shinsetsu desu.,Anh Miller tốt bụng.
この くるまは たかいです。,Kono kuruma wa takai desu.,Chiếc xe này đắt.
この ほんは おもしろくないです。,Kono hon wa omoshirokunai desu.,Cuốn sách này không thú vị.
きょうは あつくないです。,Kyou wa atsukunai desu.,Hôm nay không nóng.
この へやは きれいじゃ ありません。,Kono heya wa kirei ja arimasen.,Phòng này không sạch.
にほんごは やさしくないです。,Nihongo wa yasashikunai desu.,Tiếng Nhật không dễ.
この まちは しずかじゃ ありません。,Kono machi wa shizuka ja arimasen.,Thị trấn này không yên tĩnh.
わたしの りょうは おおきくないです。,Watashi no ryou wa ookikunai desu.,Kí túc xá của tôi không to.
あの みせは よくないです。,Ano mise wa yokunai desu.,Cửa hàng kia không tốt.
たかい やまです。,Takai yama desu.,Là ngọn núi cao.
きれいな さくらです。,Kirei na sakura desu.,Là hoa anh đào đẹp.
しんせつな ひとです。,Shinsetsu na hito desu.,Là người tốt bụng.
あたらしい くるまです。,Atarashii kuruma desu.,Là chiếc xe mới.
にぎやかな まちです。,Nigiyaka na machi desu.,Là thị trấn náo nhiệt.
この やまは とても たかいです。,Kono yama wa totemo takai desu.,Ngọn núi này rất cao.
にほんごは あまり やさしくないです。,Nihongo wa amari yasashikunai desu.,Tiếng Nhật không dễ lắm.
この しごとは あまり おもしろくないです。,Kono shigoto wa amari omoshirokunai desu.,Công việc này không thú vị lắm.
にほんの せいかつは どうですか。,Nihon no seikatsu wa dou desu ka.,Cuộc sống ở Nhật thế nào?
…とても たのしいです。,…Totemo tanoshii desu.,…Rất vui.
べんきょうは どうですか。,Benkyou wa dou desu ka.,Việc học thế nào?
にほんごは むずかしいですが、おもしろいです。,"Nihongo wa muzukashii desu ga, omoshiroi desu.",Tiếng Nhật khó nhưng thú vị.
きょうとは どんな まちですか。,Kyouto wa donna machi desu ka.,Kyoto là thị trấn thế nào?
…ふるい まちです。,…Furui machi desu.,…Là thị trấn cổ.
この くるまは しろいです。,Kono kuruma wa shiroi desu.,Chiếc xe này màu trắng.
あの ねこは くろいです。,Ano neko wa kuroi desu.,Con mèo kia màu đen.
そらは あおいです。,Sora wa aoi desu.,Bầu trời màu xanh.
この りんごは あかいです。,Kono ringo wa akai desu.,Quả táo này màu đỏ.
この かばんは ちゃいろいです。,Kono kaban wa chairoi desu.,Chiếc cặp này màu nâu.
この はなは きいろいです。,Kono hana wa kiiroi desu.,Bông hoa này màu vàng.
わたしの くつは くろです。,Watashi no kutsu wa kuro desu.,Giày của tôi màu đen.
この りょうりは からいです。,Kono ryouri wa karai desu.,Món ăn này cay.
この おかしは あまいです。,Kono okashi wa amai desu.,Món bánh này ngọt.
この コーヒーは にがいです。,Kono koohii wa nigai desu.,Cà phê này đắng.
この スープは しおからいです。,Kono suupu wa shiokarai desu.,Món súp này mặn.
この みかんは すっぱいです。,Kono mikan wa suppai desu.,Quả quýt này chua.
この おちゃは こいです。,Kono ocha wa koi desu.,Trà này đậm.
なつは とても あついです。,Natsu wa totemo atsui desu.,Mùa hè rất nóng.
ふゆは さむいです。,Fuyu wa samui desu.,Mùa đông lạnh.
はるは あまり あつくないです。,Haru wa amari atsukunai desu.,Mùa xuân không nóng lắm.
あきは いいですが、ふゆは さむいです。,"Aki wa ii desu ga, fuyu wa samui desu.",Mùa thu đẹp nhưng mùa đông lạnh.
きんかくじは とても きれいです。,Kinkakuji wa totemo kirei desu.,Chùa Vàng rất đẹp.
ならこうえんは ゆうめいです。,Narakouen wa yuumei desu.,Công viên Nara nổi tiếng.
シャンハイは にぎやかな まちです。,Shanhai wa nigiyaka na machi desu.,Thượng Hải là thành phố náo nhiệt.
ふじさんは たかいですが、きれいです。,"Fujisan wa takai desu ga, kirei desu.",Núi Phú Sĩ cao nhưng đẹp.
この みせは やすいです。そして、しんせつです。,"Kono mise wa yasui desu. Soshite, shinsetsu desu.",Cửa hàng này rẻ. Và thân thiện.
きょうは ひまです。,Kyou wa hima desu.,Hôm nay tôi rảnh.
この まちは べんりです。,Kono machi wa benri desu.,Thị trấn này tiện lợi.
この みずは つめたいです。,Kono mizu wa tsumetai desu.,Nước này lạnh.
あの たてものは ふるいですが、すてきです。,"Ano tatemono wa furui desu ga, suteki desu.",Tòa nhà kia cũ nhưng đẹp.
なつの てんきは どうですか。,Natsu no tenki wa dou desu ka.,Thời tiết mùa hè thế nào?
シャンハイは どんな まちですか。,Shanhai wa donna machi desu ka.,Thượng Hải là thành phố thế nào?
この えいがは おもしろいです。,Kono eiga wa omoshiroi desu.,Bộ phim này thú vị.
あの レストランは たかいです。,Ano resutoran wa takai desu.,Nhà hàng kia đắt.
この かばんは あたらしいです。,Kono kaban wa atarashii desu.,Chiếc cặp này mới.
にほんの でんしゃは べんりです。,Nihon no densha wa benri desu.,Tàu điện ở Nhật tiện lợi.
この もんだいは かんたんです。,Kono mondai wa kantan desu.,Câu hỏi này đơn giản.
この へやは あかるくないです。,Kono heya wa akarukunai desu.,Phòng này không sáng.
この みずは つめたくないです。,Kono mizu wa tsumetakunai desu.,Nước này không lạnh.
あの ひとは ゆうめいじゃ ありません。,Ano hito wa yuumei ja arimasen.,Người kia không nổi tiếng.
この りょうりは あまくないです。,Kono ryouri wa amakunai desu.,Món ăn này không ngọt.
ここは べんりじゃ ありません。,Koko wa benri ja arimasen.,Ở đây không tiện lợi.
おもしろい えいがです。,Omoshiroi eiga desu.,Là bộ phim thú vị.
しずかな へやです。,Shizuka na heya desu.,Là căn phòng yên tĩnh.
やさしい せんせいです。,Yasashii sensei desu.,Là người thầy hiền.
ゆうめいな おてらです。,Yuumei na otera desu.,Là ngôi chùa nổi tiếng.
このケーキは とても あまいです。,Kono keeki wa totemo amai desu.,Chiếc bánh này rất ngọt.
この みせは あまり やすくないです。,Kono mise wa amari yasukunai desu.,Cửa hàng này không rẻ lắm.
あの ホテルは あまり きれいじゃ ありません。,Ano hoteru wa amari kirei ja arimasen.,Khách sạn kia không đẹp lắm.
きょうの てんきは どうですか。,Kyou no tenki wa dou desu ka.,Thời tiết hôm nay thế nào?
…とても いいです。,…Totemo ii desu.,…Rất đẹp.
あたらしい しごとは どうですか。,Atarashii shigoto wa dou desu ka.,Công việc mới thế nào?
…いそがしいですが、たのしいです。,"…Isogashii desu ga, tanoshii desu.","…Bận nhưng vui."
おおさかは どんな まちですか。,Oosaka wa donna machi desu ka.,Osaka là thành phố thế nào?
…にぎやかな まちです。,…Nigiyaka na machi desu.,…Là thành phố náo nhiệt.
この へやは せまいですが、きれいです。,"Kono heya wa semai desu ga, kirei desu.",Phòng này chật nhưng sạch.
この みせは やすいです。そして、おいしいです。,"Kono mise wa yasui desu. Soshite, oishii desu.",Cửa hàng này rẻ. Và ngon.
ミラーさんの かさは どれですか。,Miraa-san no kasa wa dore desu ka.,Cái ô của anh Miller là cái nào?
…あの あおい かさです。,…Ano aoi kasa desu.,…Là cái ô màu xanh kia.
あなたの かばんは どれですか。,Anata no kaban wa dore desu ka.,Chiếc cặp của bạn là cái nào?
…この くろい かばんです。,…Kono kuroi kaban desu.,…Là chiếc cặp màu đen này.
どれが やまださんの くるまですか。,Dore ga Yamada-san no kuruma desu ka.,Cái nào là xe của anh Yamada?
…あの しろい くるまです。,…Ano shiroi kuruma desu.,…Là chiếc xe màu trắng kia.
どれが おいしいですか。,Dore ga oishii desu ka.,Cái nào ngon?
…その あかい りんごです。,…Sono akai ringo desu.,…Là quả táo màu đỏ đó.
この スープは しおからくないです。,Kono suupu wa shiokarakunai desu.,Món súp này không mặn.
この コーヒーは にがくないです。,Kono koohii wa nigakunai desu.,Cà phê này không đắng.
この ケーキは やすくないです。,Kono keeki wa yasukunai desu.,Bánh kem này không rẻ.
この かばんは あたらしくないです。,Kono kaban wa atarashikunai desu.,Chiếc cặp này không mới.
きょうは さむくないです。,Kyou wa samukunai desu.,Hôm nay không lạnh.
この もんだいは むずかしくないです。,Kono mondai wa muzukashikunai desu.,Câu hỏi này không khó.
この しごとは たのしくないです。,Kono shigoto wa tanoshikunai desu.,Công việc này không vui.
あの レストランは たかくないです。,Ano resutoran wa takakunai desu.,Nhà hàng kia không đắt.
この へやは ちいさくないです。,Kono heya wa chiisakunai desu.,Phòng này không nhỏ.
この おちゃは こくないです。,Kono ocha wa kokunai desu.,Trà này không đậm.
この こうえんは きれいじゃ ありません。,Kono kouen wa kirei ja arimasen.,Công viên này không sạch.
この まちは にぎやかじゃ ありません。,Kono machi wa nigiyaka ja arimasen.,Thị trấn này không náo nhiệt.
あの ひとは しんせつじゃ ありません。,Ano hito wa shinsetsu ja arimasen.,Người kia không tốt bụng.
きょうは ひまじゃ ありません。,Kyou wa hima ja arimasen.,Hôm nay không rảnh.
この へやは しずかじゃ ありません。,Kono heya wa shizuka ja arimasen.,Phòng này không yên tĩnh.
この レストランは ゆうめいじゃ ありません。,Kono resutoran wa yuumei ja arimasen.,Nhà hàng này không nổi tiếng.
この ケーキは たかいですが、おいしいです。,"Kono keeki wa takai desu ga, oishii desu.",Bánh kem này đắt nhưng ngon.
この スープは あついですが、おいしいです。,"Kono suupu wa atsui desu ga, oishii desu.",Súp này nóng nhưng ngon.
なつは あついですが、きれいです。,"Natsu wa atsui desu ga, kirei desu.",Mùa hè nóng nhưng đẹp.
この へやは ちいさいですが、きれいです。,"Kono heya wa chiisai desu ga, kirei desu.",Phòng này nhỏ nhưng sạch.
この みせは ふるいですが、ゆうめいです。,"Kono mise wa furui desu ga, yuumei desu.",Cửa hàng này cũ nhưng nổi tiếng.
この おかしは あまいですが、おいしくないです。,"Kono okashi wa amai desu ga, oishikunai desu.",Bánh này ngọt nhưng không ngon.
この レストランは きれいです。そして、しずかです。,"Kono resutoran wa kirei desu. Soshite, shizuka desu.",Nhà hàng này sạch. Và yên tĩnh.
この ケーキは やすいです。そして、おいしいです。,"Kono keeki wa yasui desu. Soshite, oishii desu.",Bánh kem này rẻ. Và ngon.
この まちは にぎやかです。そして、べんりです。,"Kono machi wa nigiyaka desu. Soshite, benri desu.",Thị trấn này náo nhiệt. Và tiện lợi.
かのじょは しんせつです。そして、げんきです。,"Kanojo wa shinsetsu desu. Soshite, genki desu.",Cô ấy tốt bụng. Và khỏe khoắn.
