cau,romaji,nghia
わたしは あたらしい くるまが ほしいです。,Watashi wa atarashii kuruma ga hoshii desu.,Tôi muốn có một chiếc xe mới.
いま なにが いちばん ほしいですか。,Ima nani ga ichiban hoshii desu ka.,Bây giờ bạn muốn có gì nhất?
…パソコンが ほしいです。,…Pasokon ga hoshii desu.,…Tôi muốn có máy tính.
にほんじんの ともだちが ほしいです。,Nihonjin no tomodachi ga hoshii desu.,Tôi muốn có bạn người Nhật.
きょうは なにも ほしくないです。,Kyou wa nani mo hoshikunai desu.,Hôm nay tôi không muốn gì cả.
わたしは にほんへ いきたいです。,Watashi wa Nihon e ikitai desu.,Tôi muốn đi Nhật.
なつに うみで およぎたいです。,Natsu ni umi de oyogitai desu.,Mùa hè tôi muốn bơi ở biển.
きょうは つかれましたから、うちへ かえりたいです。,"Kyou wa tsukaremashita kara, uchi e kaeritai desu.","Hôm nay tôi mệt rồi, nên tôi muốn về nhà."
なにか つめたい ジュースが のみたいです。,Nanika tsumetai juusu ga nomitai desu.,Tôi muốn uống nước ngọt lạnh gì đó.
どこか しずかな こうえんへ いきたいです。,Dokoka shizuka na kouen e ikitai desu.,Tôi muốn đi đến một công viên yên tĩnh nào đó.
きょうは どこも いきたくないです。,Kyou wa doko mo ikitakunai desu.,Hôm nay tôi không muốn đi đâu cả.
おかねが ありませんから、なにも かいたくないです。,"Okane ga arimasen kara, nani mo kaitakunai desu.","Vì không có tiền nên tôi không muốn mua gì cả."
らいねん けっこんしたいです。,Rainen kekkon shitai desu.,Năm sau tôi muốn kết hôn.
デパートへ かばんを かいに いきます。,Depaato e kaban o kai ni ikimasu.,Tôi đi đến cửa hàng bách hóa để mua cặp.
にほんへ にほんごを べんきょうしに いきます。,Nihon e nihongo o benkyou shi ni ikimasu.,Tôi đi Nhật để học tiếng Nhật.
くうこうへ ともだちを むかえに いきます。,Kuukou e tomodachi o mukae ni ikimasu.,Tôi ra sân bay để đón bạn.
スーパーへ たまごを かいに いきました。,Suupaa e tamago o kai ni ikimashita.,Tôi đã đi siêu thị để mua trứng.
きのう としょかんへ ほんを かりに いきました。,Kinou toshokan e hon o kari ni ikimashita.,Hôm qua tôi đã đến thư viện để mượn sách.
にちようび つりに いきます。,Nichiyoubi tsuri ni ikimasu.,Chủ nhật tôi đi câu cá.
いっしょに かいものに いきませんか。,Issho ni kaimono ni ikimasen ka.,Chúng ta cùng đi mua sắm nhé?
…ええ、いきましょう。,"…Ee, ikimashou.","…Vâng, đi thôi."
ふゆに スキーに いきたいです。,Fuyu ni sukii ni ikitai desu.,Mùa đông tôi muốn đi trượt tuyết.
こんばん レストランへ しょくじに いきます。,Konban resutoran e shokuji ni ikimasu.,Tối nay tôi đi nhà hàng ăn cơm.
さんじごろ プールへ およぎに いきます。,Sanji goro puuru e oyogi ni ikimasu.,Khoảng 3 giờ tôi đi bể bơi để bơi.
まいあさ こうえんを さんぽします。,Maiasa kouen o sanpo shimasu.,Sáng nào tôi cũng đi dạo trong công viên.
しゅうまつ どこか いきましたか。,Shuumatsu dokoka ikimashita ka.,Cuối tuần bạn có đi đâu không?
…いいえ、どこも いきませんでした。,"…Iie, doko mo ikimasen deshita.","…Không, tôi không đi đâu cả."
きのう なにか かいましたか。,Kinou nanika kaimashita ka.,Hôm qua bạn có mua gì không?
…はい、くつを かいました。,"…Hai, kutsu o kaimashita.","…Có, tôi đã mua giày."
おなかが すきましたから、なにか たべませんか。,"Onaka ga sukimashita kara, nanika tabemasen ka.","Tôi đói bụng rồi, mình ăn gì đó nhé?"
…そうしましょう。,…Sou shimashou.,…Vậy đi.
のどが かわきました。つめたい ビールが のみたいです。,Nodo ga kawakimashita. Tsumetai biiru ga nomitai desu.,Tôi khát nước rồi. Tôi muốn uống bia lạnh.
おなかが いっぱいですから、もう たべたくないです。,"Onaka ga ippai desu kara, mou tabetakunai desu.","Tôi no rồi, nên không muốn ăn nữa."
この へやは ひろいですが、わたしの へやは せまいです。,"Kono heya wa hiroi desu ga, watashi no heya wa semai desu.","Phòng này rộng, nhưng phòng tôi thì chật."
ひとりで にほんへ きましたから、すこし さびしいです。,"Hitori de Nihon e kimashita kara, sukoshi sabishii desu.","Vì tôi đến Nhật một mình nên hơi buồn."
しごとは たいへんですが、とても たのしいです。,"Shigoto wa taihen desu ga, totemo tanoshii desu.","Công việc vất vả, nhưng rất vui."
おしょうがつに くにへ かえりたいです。,Oshougatsu ni kuni e kaeritai desu.,Tết tôi muốn về nước.
びじゅつの ほんが ほしいです。,Bijutsu no hon ga hoshii desu.,Tôi muốn có sách về mỹ thuật.
どうぶつえんへ どうぶつを みに いきたいです。,Doubutsuen e doubutsu o mi ni ikitai desu.,Tôi muốn đến vườn bách thú để xem thú.
にちようび びじゅつかんへ いきませんか。,Nichiyoubi bijutsukan e ikimasen ka.,Chủ nhật mình đi bảo tàng mỹ thuật nhé?
コンビニへ なにか かいに いきます。,Konbini e nanika kai ni ikimasu.,Tôi ra cửa hàng tiện lợi để mua gì đó.
やおやで やさいを かいました。それから、にくやへ いきました。,"Yaoya de yasai o kaimashita. Sorekara, nikuya e ikimashita.",Tôi đã mua rau ở cửa hàng rau. Sau đó tôi đến cửa hàng thịt.
こうばんは ちゅうしゃじょうの となりに あります。,Kouban wa chuushajou no tonari ni arimasu.,Bốt cảnh sát ở cạnh bãi đỗ xe.
おてらと じんじゃと どちらが ふるいですか。,Otera to jinja to dochira ga furui desu ka.,"Chùa và đền thờ đạo Thần, nơi nào cổ hơn?"
きっさてんで しょくじしませんか。,Kissaten de shokuji shimasen ka.,Mình ăn cơm ở quán giải khát nhé?
たいしかんへ ともだちに あいに いきます。,Taishikan e tomodachi ni ai ni ikimasu.,Tôi đến đại sứ quán để gặp bạn.
ごちゅうもんは。,Gochuumon wa.,Anh/chị gọi món gì ạ?
…ぎゅうどんを ふたつ おねがいします。,…Gyuudon o futatsu onegai shimasu.,…Cho tôi hai suất cơm thịt bò.
…ていしょくを ひとつ おねがいします。べつべつに おねがいします。,…Teishoku o hitotsu onegai shimasu. Betsubetsu ni onegai shimasu.,…Cho tôi một suất cơm phần. Xin tính tiền riêng ạ.
かしこまりました。しょうしょう おまちください。,Kashikomarimashita. Shoushou omachi kudasai.,Vâng ạ. Xin quý khách đợi một lát.
