cau,romaji,nghia
しゃしんを とっても いいですか。,Shashin o totte mo ii desu ka.,Tôi chụp ảnh có được không?
…はい、どうぞ。,"…Hai, douzo.","…Vâng, mời bạn."
ここに すわっても いいですか。,Koko ni suwatte mo ii desu ka.,Tôi ngồi đây có được không?
…すみません、ちょっと…。,"…Sumimasen, chotto….","…Xin lỗi, hơi bất tiện…"
この ちずを つかっても いいですか。,Kono chizu o tsukatte mo ii desu ka.,Tôi dùng tấm bản đồ này được không?
…ええ、いいですよ。,"…Ee, ii desu yo.","…Vâng, được đấy."
あした やすんでも いいですか。,Ashita yasunde mo ii desu ka.,Ngày mai tôi nghỉ có được không?
えんぴつで かいても いいですか。,Enpitsu de kaite mo ii desu ka.,Tôi viết bằng bút chì có được không?
くつを ぬいでも いいですか。,Kutsu o nuide mo ii desu ka.,Tôi cởi giày có được không?
ここで たばこを すっては いけません。,Koko de tabako o sutte wa ikemasen.,Không được hút thuốc ở đây.
びょういんの なかで でんわを つかっては いけません。,Byouin no naka de denwa o tsukatte wa ikemasen.,Không được dùng điện thoại trong bệnh viện.
としょかんで はなしては いけません。,Toshokan de hanashite wa ikemasen.,Không được nói chuyện trong thư viện.
ここに くるまを とめては いけません。,Koko ni kuruma o tomete wa ikemasen.,Không được đỗ xe ở đây.
この ほんを もって いっては いけません。,Kono hon o motte itte wa ikemasen.,Không được mang quyển sách này đi.
わたしは おおさかに すんで います。,Watashi wa Oosaka ni sunde imasu.,Tôi đang sống ở Osaka.
あには けっこんして います。,Ani wa kekkon shite imasu.,Anh trai tôi đã lập gia đình.
いもうとは まだ どくしんです。,Imouto wa mada dokushin desu.,Em gái tôi vẫn còn độc thân.
カメラを もって いますか。,Kamera o motte imasu ka.,Bạn có máy ảnh không?
…いいえ、もって いません。,"…Iie, motte imasen.","…Không, tôi không có."
あの ひとを しって いますか。,Ano hito o shitte imasu ka.,Bạn có biết người kia không?
…いいえ、しりません。,"…Iie, shirimasen.","…Không, tôi không biết."
やまださんの じゅうしょを しって いますか。,Yamada-san no juusho o shitte imasu ka.,Bạn có biết địa chỉ của anh Yamada không?
…はい、しって います。,"…Hai, shitte imasu.","…Có, tôi biết."
あには ぎんこうで はたらいて います。,Ani wa ginkou de hataraite imasu.,Anh trai tôi làm việc ở ngân hàng.
ちちは こうこうで きょうしを して います。,Chichi wa koukou de kyoushi o shite imasu.,Bố tôi làm giáo viên ở trường phổ thông trung học.
あねは びょういんで かんごしを して います。,Ane wa byouin de kangoshi o shite imasu.,Chị tôi làm y tá ở bệnh viện.
おとうとは くるまの かいしゃで エンジニアを して います。,Otouto wa kuruma no kaisha de enjinia o shite imasu.,Em trai tôi làm kỹ sư ở công ty ô tô.
ごかぞくは どこに すんで いますか。,Gokazoku wa doko ni sunde imasu ka.,Gia đình bạn đang sống ở đâu?
まいあさ こうえんを さんぽして います。,Maiasa kouen o sanpo shite imasu.,Sáng nào tôi cũng đi dạo ở công viên.
まいにち にほんごを べんきょうして います。,Mainichi nihongo o benkyou shite imasu.,Ngày nào tôi cũng học tiếng Nhật.
かさを わすれました。,Kasa o wasuremashita.,Tôi đã quên cái ô.
パスポートを なくしましたから、たいしかんへ いきます。,"Pasupooto o nakushimashita kara, taishikan e ikimasu.","Vì tôi làm mất hộ chiếu nên tôi đến đại sứ quán."
あめですから、かさを もって いきます。,"Ame desu kara, kasa o motte ikimasu.","Vì trời mưa nên tôi mang theo ô."
あとで ちずを もって きます。,Ato de chizu o motte kimasu.,Lát nữa tôi sẽ mang bản đồ đến.
きょうは ざんぎょうしますから、ばんごはんは いりません。,"Kyou wa zangyou shimasu kara, bangohan wa irimasen.","Hôm nay tôi làm thêm giờ nên không cần bữa tối đâu."
らいしゅう おおさかへ しゅっちょうします。,Raishuu Oosaka e shucchou shimasu.,Tuần sau tôi đi công tác Osaka.
くすりを のみましたか。,Kusuri o nomimashita ka.,Bạn đã uống thuốc chưa?
…はい、しょくじの あとで のみました。,"…Hai, shokuji no ato de nomimashita.","…Rồi, tôi đã uống sau bữa ăn."
